contrast_raw;treatment_id;class;mean;lcl;ucl;effect_95CrI;reference_id;reference_label
trt_025 vs trt_031;trt_025;Mindfulness or meditation group;2.3897675281639983;0.5591020367943775;5.405309334323934;2.390 (0.559 to 5.405);trt_031;Placebo
trt_017 vs trt_031;trt_017;Exercise group + AD;2.0226578951313043;0.5591020367943775;4.4874240260822775;2.023 (0.559 to 4.487);trt_031;Placebo
trt_032 vs trt_031;trt_032;Problem solving group;1.7618263845200859;0.5591020367943775;3.83115204075007;1.762 (0.559 to 3.831);trt_031;Placebo
trt_002 vs trt_031;trt_002;Acupuncture + AD;1.1799367834602985;0.5591020367943775;2.1978579026510916;1.180 (0.559 to 2.198);trt_031;Placebo
trt_050 vs trt_031;trt_050;Yoga group + AD;1.103869619981378;0.3696710790013657;2.8485367506780754;1.104 (0.370 to 2.849);trt_031;Placebo
trt_011 vs trt_031;trt_011;Cognitive and cognitive behavioural therapies individual + AD;1.0555652016455204;0.558976634345962;1.9735095126109727;1.056 (0.559 to 1.974);trt_031;Placebo
trt_012 vs trt_031;trt_012;Cognitive and cognitive behavioural therapies individual + placebo;0.99997383417001;0.5456054293422449;2.169955699229715;1.000 (0.546 to 2.170);trt_031;Placebo
trt_019 vs trt_031;trt_019;Exercise individual + AD;0.987193347946496;0.5398292102297989;2.161368314228664;0.987 (0.540 to 2.161);trt_031;Placebo
trt_034 vs trt_031;trt_034;Psychoeducation group;0.941976908499148;0.14320157620829838;2.41623655557201;0.942 (0.143 to 2.416);trt_031;Placebo
trt_030 vs trt_031;trt_030;Peer support group + AD;0.9135205900466478;0.07550554597385188;2.3721379205408812;0.914 (0.076 to 2.372);trt_031;Placebo
trt_024 vs trt_031;trt_024;Light therapy + AD;0.8757537362883802;0.4293233798270563;1.8624215176918297;0.876 (0.429 to 1.862);trt_031;Placebo
trt_029 vs trt_031;trt_029;Peer support group;0.8530831168695702;-0.053630153412006484;2.250295143293864;0.853 (-0.054 to 2.250);trt_031;Placebo
trt_009 vs trt_031;trt_009;Cognitive and cognitive behavioural therapies group + AD;0.8421991551693684;0.1912702769364971;1.9731583862895345;0.842 (0.191 to 1.973);trt_031;Placebo
trt_001 vs trt_031;trt_001;Acupuncture;0.8035276871779037;0.5354917840141694;1.4552512449547443;0.804 (0.535 to 1.455);trt_031;Placebo
trt_008 vs trt_031;trt_008;Cognitive and cognitive behavioural therapies group;0.7722529030624975;0.4287478833979675;1.4517262908593478;0.772 (0.429 to 1.452);trt_031;Placebo
trt_033 vs trt_031;trt_033;Problem solving individual;0.7468357698734187;0.3153845605601016;1.4663181401942815;0.747 (0.315 to 1.466);trt_031;Placebo
trt_016 vs trt_031;trt_016;Exercise group;0.7381070925043299;0.24665049270545875;1.5003859633471819;0.738 (0.247 to 1.500);trt_031;Placebo
trt_023 vs trt_031;trt_023;Light therapy;0.7255189816921643;-0.06688695983170012;1.7606752159814136;0.726 (-0.067 to 1.761);trt_031;Placebo
trt_049 vs trt_031;trt_049;Yoga group;0.6902111049716139;-0.06712017363057221;1.6223641749866675;0.690 (-0.067 to 1.622);trt_031;Placebo
trt_010 vs trt_031;trt_010;Cognitive and cognitive behavioural therapies individual;0.6810240292297289;0.47176105393819745;1.046216731181543;0.681 (0.472 to 1.046);trt_031;Placebo
trt_036 vs trt_031;trt_036;Relaxation individual + AD;0.6808880910984775;-0.299880219751568;1.8074499224263605;0.681 (-0.300 to 1.807);trt_031;Placebo
trt_018 vs trt_031;trt_018;Exercise individual;0.6676503984444876;0.12031194161495647;1.3414073222449654;0.668 (0.120 to 1.341);trt_031;Placebo
trt_027 vs trt_031;trt_027;Music therapy group;0.6559793039771855;-0.560044453585571;1.9776435768650351;0.656 (-0.560 to 1.978);trt_031;Placebo
trt_007 vs trt_031;trt_007;Behavioural therapies individual + AD;0.6359768309976734;-0.27102692425836167;1.6010169371746934;0.636 (-0.271 to 1.601);trt_031;Placebo
trt_021 vs trt_031;trt_021;Interpersonal psychotherapy (IPT) individual + AD;0.614186681791817;-0.03259356351263879;1.277837588244659;0.614 (-0.033 to 1.278);trt_031;Placebo
trt_026 vs trt_031;trt_026;Mirtazapine;0.6074558610397256;0.36997551275621476;0.8510205578625705;0.607 (0.370 to 0.851);trt_031;Placebo
trt_046 vs trt_031;trt_046;TCAs;0.6026929680773208;0.4643888613465507;0.7368545778582714;0.603 (0.464 to 0.737);trt_031;Placebo
trt_013 vs trt_031;trt_013;Counselling individual;0.5954655541098308;0.04825901239618093;1.1213691090944664;0.595 (0.048 to 1.121);trt_031;Placebo
trt_038 vs trt_031;trt_038;SNRIs;0.5885306494776976;0.4315208883553448;0.7136576505542933;0.589 (0.432 to 0.714);trt_031;Placebo
trt_043 vs trt_031;trt_043;Short-term psychodynamic psychotherapies individual;0.5779480185453746;-0.04607260363174628;1.145122082055338;0.578 (-0.046 to 1.145);trt_031;Placebo
trt_040 vs trt_031;trt_040;Self-help;0.5639385612086756;0.033137126640116275;1.0124779139996245;0.564 (0.033 to 1.012);trt_031;Placebo
trt_039 vs trt_031;trt_039;SSRIs;0.5604866578795565;0.41573594070602254;0.6566533249024982;0.560 (0.416 to 0.657);trt_031;Placebo
trt_041 vs trt_031;trt_041;Self-help with support;0.5513141141767457;0.01368050499879524;0.9803542751612241;0.551 (0.014 to 0.980);trt_031;Placebo
trt_020 vs trt_031;trt_020;Interpersonal psychotherapy (IPT) individual;0.5132046273613626;-0.14656207444610952;0.9877653816594851;0.513 (-0.147 to 0.988);trt_031;Placebo
trt_003 vs trt_031;trt_003;Any AD;0.509214385920088;-0.029519317457329525;0.8601038827774861;0.509 (-0.030 to 0.860);trt_031;Placebo
trt_022 vs trt_031;trt_022;Interpersonal psychotherapy (IPT) individual + placebo;0.49046467802546934;-0.3658116610777993;1.1167889857529691;0.490 (-0.366 to 1.117);trt_031;Placebo
trt_047 vs trt_031;trt_047;Trazodone;0.48581237504416397;0.06040184944488088;0.6845441864286231;0.486 (0.060 to 0.685);trt_031;Placebo
trt_044 vs trt_031;trt_044;Short-term psychodynamic psychotherapies individual + AD;0.45636714192820704;-0.7256761267889352;1.3407518868290094;0.456 (-0.726 to 1.341);trt_031;Placebo
trt_045 vs trt_031;trt_045;TAU;0.440306769409643;-0.2029951395556044;0.7574902381243034;0.440 (-0.203 to 0.757);trt_031;Placebo
trt_035 vs trt_031;trt_035;Psychoeducation group + AD;0.421227199567925;-0.8138867917798658;1.2885004593186895;0.421 (-0.814 to 1.289);trt_031;Placebo
trt_042 vs trt_031;trt_042;Sham acupuncture;0.3888358328763318;-0.490016272676162;0.8396236780690558;0.389 (-0.490 to 0.840);trt_031;Placebo
