studyid,class,n,mean_change,sd_change,source
003-008 (FDA),Mirtazapine,58,-14.899999999999999,10.889444430272832,change_from_baseline
003-008 (FDA),Placebo,28,-9.6,7.7,change_from_baseline
29060 07 001,Placebo,11,-10.91,9.38604815670578,change_from_baseline
29060 07 001,SSRIs,12,-13.08,10.2190997646564,change_from_baseline
29060 07 001,TCAs,13,-13.31,11.1050979284291,change_from_baseline
29060/299,SSRIs,102,-14.3,9.35,change_from_baseline
29060/299,TCAs,100,-14.39,8.39,change_from_baseline
Ai 2018,Acupuncture + AD,50,-21.71,4.70927807630851,baseline_followup
Ai 2018,SSRIs,50,-18.57,5.33011256916775,baseline_followup
Akhondzadeh 2003,SSRIs,17,-16.82,11.08,change_from_baseline
Akhondzadeh 2003,TCAs,20,-20.3,8.12,change_from_baseline
Albornoz 2011,Music therapy group,12,-7.830000000000001,4.61788912816235,baseline_followup
Albornoz 2011,No treatment,12,-3.84,7.16134065660893,baseline_followup
Alexopoulos 2003b,Counselling individual,13,-11.43,5.93854359249808,baseline_followup
Alexopoulos 2003b,Problem solving individual,12,-16.81,5.41866219652047,baseline_followup
Allard 2004,SNRIs,73,-18,6.85054742338158,baseline_followup
Allard 2004,SSRIs,75,-17.4,7.20902212508743,baseline_followup
Allen 2006,Acupuncture,53,-14.0073233346625,4.8,binary_response_converted
Allen 2006,Sham acupuncture,52,-14.0073233346625,5,binary_response_converted
Allen 2006,Waitlist,52,-14.0073233346625,4.2,binary_response_converted
Alves 1999,SNRIs,40,-14.007323334662498,5.2,binary_response_converted
Alves 1999,SSRIs,47,-14.0073233346625,3.9,binary_response_converted
Amsterdam 1986,Placebo,54,-5.7,7.46371891217776,baseline_followup
Amsterdam 1986,TCAs,55,-12.4,7.43976478122797,baseline_followup
Andreescu 2011,Acupuncture,23,-7.4,6.2,change_from_baseline
Andreescu 2011,Sham acupuncture,22,-7.9,7.4,change_from_baseline
