studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
003-008 (FDA),Mirtazapine,58,-14.899999999999999,10.889444430272832,change_from_baseline,9.97609643096938,-1.4935701657559222,1,trt_026
003-008 (FDA),Placebo,28,-9.6,7.7,change_from_baseline,9.97609643096938,-0.9623002410239498,1,trt_031
29060 07 001,Placebo,11,-10.91,9.38604815670578,change_from_baseline,10.312668584480624,-1.0579220994668916,1,trt_031
29060 07 001,SSRIs,12,-13.08,10.2190997646564,change_from_baseline,10.312668584480624,-1.2683429020189683,1,trt_039
29060 07 001,TCAs,13,-13.31,11.1050979284291,change_from_baseline,10.312668584480624,-1.2906455677272528,1,trt_046
29060/299,SSRIs,102,-14.3,9.35,change_from_baseline,8.887769798999072,-1.6089525632865116,1,trt_039
29060/299,TCAs,100,-14.39,8.39,change_from_baseline,8.887769798999072,-1.6190788381603427,1,trt_046
Ai 2018,Acupuncture + AD,50,-21.71,4.70927807630851,baseline_followup,5.02928424330938,-4.316717638077728,1,trt_002
Ai 2018,SSRIs,50,-18.57,5.33011256916775,baseline_followup,5.02928424330938,-3.6923743223907604,1,trt_039
Akhondzadeh 2003,SSRIs,17,-16.82,11.08,change_from_baseline,9.587217680700842,-1.7544193279202178,1,trt_039
Akhondzadeh 2003,TCAs,20,-20.3,8.12,change_from_baseline,9.587217680700842,-2.1174026371450902,1,trt_046
Albornoz 2011,Music therapy group,12,-7.830000000000001,4.61788912816235,baseline_followup,6.025350612205071,-1.299509440021531,1,trt_027
Albornoz 2011,No treatment,12,-3.84,7.16134065660893,baseline_followup,6.025350612205071,-0.6373073115814404,1,trt_028
Alexopoulos 2003b,Counselling individual,13,-11.43,5.93854359249808,baseline_followup,5.695827992639802,-2.0067319474481926,1,trt_013
Alexopoulos 2003b,Problem solving individual,12,-16.81,5.41866219652047,baseline_followup,5.695827992639802,-2.951282942835006,1,trt_033
Allard 2004,SNRIs,73,-18,6.85054742338158,baseline_followup,7.034523476963116,-2.558808718024324,1,trt_038
Allard 2004,SSRIs,75,-17.4,7.20902212508743,baseline_followup,7.034523476963116,-2.4735150940901796,1,trt_039
Allen 2006,Acupuncture,53,-14.0073233346625,4.8,binary_response_converted,4.6798268366232545,-2.9931285544679542,1,trt_001
Allen 2006,Sham acupuncture,52,-14.0073233346625,5,binary_response_converted,4.6798268366232545,-2.9931285544679542,1,trt_042
Allen 2006,Waitlist,52,-14.0073233346625,4.2,binary_response_converted,4.6798268366232545,-2.9931285544679542,1,trt_048
Alves 1999,SNRIs,40,-14.007323334662498,5.2,binary_response_converted,4.542893610127931,-3.083348309860165,1,trt_038
Alves 1999,SSRIs,47,-14.0073233346625,3.9,binary_response_converted,4.542893610127931,-3.0833483098601655,1,trt_039
Amsterdam 1986,Placebo,54,-5.7,7.46371891217776,baseline_followup,7.451639536082039,-0.7649323309856417,1,trt_031
Amsterdam 1986,TCAs,55,-12.4,7.43976478122797,baseline_followup,7.451639536082039,-1.664063316530168,1,trt_046
