study,treatment,mean,std.dev,sampleSize
003-008 (FDA),trt_026,-1.4935701657559222,1,58
003-008 (FDA),trt_031,-0.9623002410239498,1,28
29060 07 001,trt_031,-1.0579220994668916,1,11
29060 07 001,trt_039,-1.2683429020189683,1,12
29060 07 001,trt_046,-1.2906455677272528,1,13
29060/299,trt_039,-1.6089525632865116,1,102
29060/299,trt_046,-1.6190788381603427,1,100
Ai 2018,trt_002,-4.316717638077728,1,50
Ai 2018,trt_039,-3.6923743223907604,1,50
Akhondzadeh 2003,trt_039,-1.7544193279202178,1,17
Akhondzadeh 2003,trt_046,-2.1174026371450902,1,20
Albornoz 2011,trt_027,-1.299509440021531,1,12
Albornoz 2011,trt_028,-0.6373073115814404,1,12
Alexopoulos 2003b,trt_013,-2.0067319474481926,1,13
Alexopoulos 2003b,trt_033,-2.951282942835006,1,12
Allard 2004,trt_038,-2.558808718024324,1,73
Allard 2004,trt_039,-2.4735150940901796,1,75
Allen 2006,trt_001,-2.9931285544679542,1,53
Allen 2006,trt_042,-2.9931285544679542,1,52
Allen 2006,trt_048,-2.9931285544679542,1,52
Alves 1999,trt_038,-3.083348309860165,1,40
Alves 1999,trt_039,-3.0833483098601655,1,47
Amsterdam 1986,trt_031,-0.7649323309856417,1,54
Amsterdam 1986,trt_046,-1.664063316530168,1,55
Andreescu 2011,trt_001,-1.086237639107935,1,23
Andreescu 2011,trt_042,-1.1596320741827955,1,22
Andreoli 2002/Dubini 1997/Massana 1998_study 1,trt_031,-1.8962742820497298,1,128
Andreoli 2002/Dubini 1997/Massana 1998_study 1,trt_039,-2.9326102268908616,1,127
Arean 1993,trt_032,-2.9518259271820195,1,19
Arean 1993,trt_048,-0.0719957543215125,1,20
Arean 2010,trt_013,-1.2575561528590091,1,111
Arean 2010,trt_033,-1.6441598425430433,1,110
Ashouri 2013,trt_003,-1.4553802512300908,1,13
Ashouri 2013,trt_011,-6.170812265215585,1,20
Bakish 1992b,trt_031,-4.009104200018118,1,56
Bakish 1992b,trt_046,-4.009104200018118,1,59
Baldwin 2012,trt_031,-1.5255826701369533,1,145
Baldwin 2012,trt_038,-1.7317424904257308,1,149
Basterzi 2009,trt_038,-2.169942578512196,1,21
Basterzi 2009,trt_039,-1.9288378475663968,1,22
Baune 2018,trt_031,-0.9428769803472936,1,48
Baune 2018,trt_039,-1.8810395757928509,1,52
Beach 1992,trt_010,-2.0807733721923887,1,15
Beach 1992,trt_048,-0.9399355577834584,1,15
Beasley 1991a,trt_039,-1.6394592817055338,1,63
Beasley 1991a,trt_047,-1.8679085258776167,1,57
Beasley 1993b,trt_039,-1.275847090949858,1,65
Beasley 1993b,trt_046,-1.147273353102198,1,71
Benkert 1996,trt_038,-2.3503050451322562,1,85
Benkert 1996,trt_046,-2.3503050451322554,1,82
Benkert 2000,trt_026,-4.308707475683311,1,139
Benkert 2000,trt_039,-4.308707475683311,1,136
Bersani 1994,trt_039,-2.9290649813832346,1,31
Bersani 1994,trt_046,-2.7567670413018677,1,30
Bhargava 2012,trt_039,-3.2159427050552543,1,30
Bhargava 2012,trt_046,-3.663975748580046,1,30
Bielski 2004,trt_038,-1.3662380571213801,1,98
Bielski 2004,trt_039,-1.5972930226639666,1,97
Binnemann 2008,trt_031,-1.3412937207860358,1,31
Binnemann 2008,trt_039,-1.7681887753387622,1,30
Bjerkenstedt 2005,trt_031,-1.2912700224781204,1,55
Bjerkenstedt 2005,trt_039,-1.184773525778894,1,54
Blackburn 1997,trt_003,-2.2506293455847874,1,38
Blackburn 1997,trt_010,-1.221770216174599,1,24
Blashki 1971,trt_031,-0.9868540253976218,1,18
Blashki 1971,trt_046,-3.105300666584517,1,27
Blom 2007,trt_003,-0.6621092683951638,1,47
Blom 2007,trt_020,-1.024200274548769,1,50
Blom 2007,trt_021,-1.3242185367903276,1,49
Blom 2007,trt_022,-1.1483457623728621,1,47
Blumenthal 2007/Hoffman 2011,trt_016,-1.0357024206506227,1,51
Blumenthal 2007/Hoffman 2011,trt_018,-1.0213176648082527,1,53
Blumenthal 2007/Hoffman 2011,trt_031,-0.8774701063845552,1,49
Blumenthal 2007/Hoffman 2011,trt_039,-0.8774701063845552,1,49
Bose 2008,trt_031,-1.0268929780002176,1,134
Bose 2008,trt_039,-1.1722080220568523,1,129
Boulenger 2014,trt_031,-1.2406166412386384,1,158
Boulenger 2014,trt_038,-2.242653159162154,1,146
Bowman 1995,trt_040,-2.3697471475539853,1,20
Bowman 1995,trt_048,-0.02618505135418755,1,10
Brannan 2005,trt_031,-1.3050672237969614,1,136
Brannan 2005,trt_038,-1.378771117643333,1,132
Burke 2002,trt_031,-0.6387605774794355,1,119
Burke 2002,trt_039,-2.6297908881334204,1,366
Carman 1991,trt_031,-0.9664948453608248,1,48
Carman 1991,trt_046,-1.7396907216494846,1,48
Chang 2015,trt_038,-2.4000472013531104,1,54
Chang 2015,trt_039,-2.2744633361660296,1,58
Chiu 1996,trt_039,-2.3067267847063024,1,15
Chiu 1996,trt_046,-1.7471742478221004,1,15
Choi 2012,trt_041,-1.4811029085273621,1,25
Choi 2012,trt_048,0.05306883385602939,1,30
Choi 2014a/Choi 2014b,trt_005,-0.7162231331605267,1,36
