network_estimate_raw,direct_comparison_raw,contribution,estimate_norm,direct_norm,network_estimate,contribution_pct,rank
Acupuncture + AD:Any AD,Acupuncture + AD:SSRIs,0.24959753731389087,Acupuncture+AD:AnyAD,Acupuncture+AD:SSRIs,Acupuncture + AD:Any AD,24.95975373138922,1
Acupuncture + AD:Any AD,Any AD:Cognitive and cognitive behavioural therapies individual,0.09652035771377339,Acupuncture+AD:AnyAD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual,Acupuncture + AD:Any AD,9.652035771377392,2
Acupuncture + AD:Any AD,SSRIs:TCAs,0.05586664929132764,Acupuncture+AD:AnyAD,SSRIs:TCAs,Acupuncture + AD:Any AD,5.5866649291327946,3
Acupuncture + AD:Any AD,Placebo:SSRIs,0.04220907683099005,Acupuncture+AD:AnyAD,Placebo:SSRIs,Acupuncture + AD:Any AD,4.220907683099028,4
Acupuncture + AD:Any AD,Cognitive and cognitive behavioural therapies individual:TCAs,0.03626250575935443,Acupuncture+AD:AnyAD,Cognitiveandcognitivebehaviouraltherapiesindividual:TCAs,Acupuncture + AD:Any AD,3.626250575935462,5
Acupuncture + AD:Any AD,Cognitive and cognitive behavioural therapies individual:SSRIs,0.027927586579749406,Acupuncture+AD:AnyAD,Cognitiveandcognitivebehaviouraltherapiesindividual:SSRIs,Acupuncture + AD:Any AD,2.7927586579749555,6
Acupuncture + AD:Any AD,SNRIs:SSRIs,0.02727710474546743,Acupuncture+AD:AnyAD,SNRIs:SSRIs,Acupuncture + AD:Any AD,2.7277104745467575,7
Acupuncture + AD:Any AD,Any AD:Cognitive and cognitive behavioural therapies group,0.02484143488671825,Acupuncture+AD:AnyAD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesgroup,Acupuncture + AD:Any AD,2.4841434886718385,8
Acupuncture + AD:Any AD,Any AD:Interpersonal psychotherapy (IPT) individual,0.02454806911706814,Acupuncture+AD:AnyAD,AnyAD:Interpersonalpsychotherapy(IPT)individual,Acupuncture + AD:Any AD,2.454806911706827,9
Acupuncture + AD:Any AD,Any AD:Cognitive and cognitive behavioural therapies individual + AD,0.02186803046102718,Acupuncture+AD:AnyAD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual+AD,Acupuncture + AD:Any AD,2.18680304610273,10
Acupuncture + AD:Any psychotherapy,Acupuncture + AD:SSRIs,0.24316834247446564,Acupuncture+AD:Anypsychotherapy,Acupuncture+AD:SSRIs,Acupuncture + AD:Any psychotherapy,24.316834247446806,1
Acupuncture + AD:Any psychotherapy,Any psychotherapy:Behavioural therapies individual,0.13492501046656455,Acupuncture+AD:Anypsychotherapy,Anypsychotherapy:Behaviouraltherapiesindividual,Acupuncture + AD:Any psychotherapy,13.49250104665659,2
Acupuncture + AD:Any psychotherapy,Any psychotherapy:Short-term psychodynamic psychotherapies individual,0.1082433320079011,Acupuncture+AD:Anypsychotherapy,Anypsychotherapy:Short-termpsychodynamicpsychotherapiesindividual,Acupuncture + AD:Any psychotherapy,10.824333200790218,3
Acupuncture + AD:Any psychotherapy,Behavioural therapies individual:SSRIs,0.07365039822608431,Acupuncture+AD:Anypsychotherapy,Behaviouraltherapiesindividual:SSRIs,Acupuncture + AD:Any psychotherapy,7.365039822608504,4
Acupuncture + AD:Any psychotherapy,Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,0.061274612240480204,Acupuncture+AD:Anypsychotherapy,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,Acupuncture + AD:Any psychotherapy,6.127461224048082,5
Acupuncture + AD:Any psychotherapy,Short-term psychodynamic psychotherapies individual:SSRIs,0.05548707491887592,Acupuncture+AD:Anypsychotherapy,Short-termpsychodynamicpsychotherapiesindividual:SSRIs,Acupuncture + AD:Any psychotherapy,5.5487074918876464,6
Acupuncture + AD:Any psychotherapy,Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual,0.039383542187725815,Acupuncture+AD:Anypsychotherapy,Cognitiveandcognitivebehaviouraltherapiesindividual:Short-termpsychodynamicpsychotherapiesindividual,Acupuncture + AD:Any psychotherapy,3.938354218772621,7
Acupuncture + AD:Any psychotherapy,Cognitive and cognitive behavioural therapies individual:TCAs,0.031287856895230316,Acupuncture+AD:Anypsychotherapy,Cognitiveandcognitivebehaviouraltherapiesindividual:TCAs,Acupuncture + AD:Any psychotherapy,3.128785689523063,8
Acupuncture + AD:Any psychotherapy,SSRIs:TCAs,0.029765944615014646,Acupuncture+AD:Anypsychotherapy,SSRIs:TCAs,Acupuncture + AD:Any psychotherapy,2.9765944615014943,9
Acupuncture + AD:Any psychotherapy,Cognitive and cognitive behavioural therapies individual:SSRIs,0.021486698447615145,Acupuncture+AD:Anypsychotherapy,Cognitiveandcognitivebehaviouraltherapiesindividual:SSRIs,Acupuncture + AD:Any psychotherapy,2.1486698447615358,10
Acupuncture + AD:Attention placebo,Acupuncture + AD:SSRIs,0.19803084259591497,Acupuncture+AD:Attentionplacebo,Acupuncture+AD:SSRIs,Acupuncture + AD:Attention placebo,19.803084259591557,1
Acupuncture + AD:Attention placebo,Attention placebo:Problem solving individual,0.10334522409165905,Acupuncture+AD:Attentionplacebo,Attentionplacebo:Problemsolvingindividual,Acupuncture + AD:Attention placebo,10.334522409165936,2
Acupuncture + AD:Attention placebo,Attention placebo:Self-help,0.094685618504256,Acupuncture+AD:Attentionplacebo,Attentionplacebo:Self-help,Acupuncture + AD:Attention placebo,9.468561850425628,3
Acupuncture + AD:Attention placebo,SSRIs:TCAs,0.04910560491798538,Acupuncture+AD:Attentionplacebo,SSRIs:TCAs,Acupuncture + AD:Attention placebo,4.910560491798553,4
Acupuncture + AD:Attention placebo,Placebo:SSRIs,0.04584531776947113,Acupuncture+AD:Attentionplacebo,Placebo:SSRIs,Acupuncture + AD:Attention placebo,4.584531776947126,5
Acupuncture + AD:Attention placebo,Cognitive and cognitive behavioural therapies individual:Self-help,0.03163224351043524,Acupuncture+AD:Attentionplacebo,Cognitiveandcognitivebehaviouraltherapiesindividual:Self-help,Acupuncture + AD:Attention placebo,3.1632243510435334,6
Acupuncture + AD:Attention placebo,Problem solving individual:TCAs,0.028887973441468703,Acupuncture+AD:Attentionplacebo,Problemsolvingindividual:TCAs,Acupuncture + AD:Attention placebo,2.888797344146879,7
Acupuncture + AD:Attention placebo,Placebo:Problem solving individual,0.028550185884622402,Acupuncture+AD:Attentionplacebo,Placebo:Problemsolvingindividual,Acupuncture + AD:Attention placebo,2.8550185884622485,8
Acupuncture + AD:Attention placebo,Self-help:Waitlist,0.02730817988852159,Acupuncture+AD:Attentionplacebo,Self-help:Waitlist,Acupuncture + AD:Attention placebo,2.7308179888521673,9
Acupuncture + AD:Attention placebo,Counselling individual:Problem solving individual,0.026742659550209553,Acupuncture+AD:Attentionplacebo,Counsellingindividual:Problemsolvingindividual,Acupuncture + AD:Attention placebo,2.6742659550209633,10
Acupuncture + AD:Behavioural therapies individual,Acupuncture + AD:SSRIs,0.32819145470923256,Acupuncture+AD:Behaviouraltherapiesindividual,Acupuncture+AD:SSRIs,Acupuncture + AD:Behavioural therapies individual,32.8191454709236,1
Acupuncture + AD:Behavioural therapies individual,Behavioural therapies individual:SSRIs,0.18091951334123355,Acupuncture+AD:Behaviouraltherapiesindividual,Behaviouraltherapiesindividual:SSRIs,Acupuncture + AD:Behavioural therapies individual,18.091951334123547,2
Acupuncture + AD:Behavioural therapies individual,Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,0.12543733147944428,Acupuncture+AD:Behaviouraltherapiesindividual,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,Acupuncture + AD:Behavioural therapies individual,12.54373314794456,3
Acupuncture + AD:Behavioural therapies individual,Cognitive and cognitive behavioural therapies individual:TCAs,0.037801794378425395,Acupuncture+AD:Behaviouraltherapiesindividual,Cognitiveandcognitivebehaviouraltherapiesindividual:TCAs,Acupuncture + AD:Behavioural therapies individual,3.7801794378425795,4
