treatment_1,Acupuncture,Acupuncture + AD,Any AD,Any psychotherapy,Attention placebo,Behavioural therapies individual,Behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies group,Cognitive and cognitive behavioural therapies group + AD,Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Counselling individual,Counselling individual + AD,Counselling individual + placebo,Exercise group,Exercise group + AD,Exercise individual,Exercise individual + AD,Interpersonal psychotherapy (IPT) individual,Interpersonal psychotherapy (IPT) individual + AD,Interpersonal psychotherapy (IPT) individual + placebo,Light therapy,Light therapy + AD,Mindfulness or meditation group,Mirtazapine,Music therapy group,No treatment,Peer support group,Peer support group + AD,Placebo,Problem solving group,Problem solving individual,Psychoeducation group,Psychoeducation group + AD,Relaxation individual + AD,Relaxation individual + placebo,SNRIs,SSRIs,Self-help,Self-help with support,Sham acupuncture,Short-term psychodynamic psychotherapies individual,Short-term psychodynamic psychotherapies individual + AD,TAU,TCAs,Trazodone,Waitlist,Yoga group,Yoga group + AD
Acupuncture,NA,-0.074 (-1.377 to 0.653),0.597 (-0.023 to 1.200),1.109 (0.535 to 2.667),1.150 (0.551 to 2.651),1.332 (0.559 to 2.918),0.470 (-0.699 to 1.370),0.334 (-0.589 to 0.714),0.264 (-1.064 to 0.908),0.425 (-0.257 to 0.748),0.050 (-1.134 to 0.653),0.106 (-1.269 to 0.663),0.510 (-0.253 to 1.092),0.772 (-0.279 to 2.172),0.945 (-0.348 to 2.946),0.368 (-0.627 to 0.891),-0.917 (-3.570 to 0.653),0.438 (-0.470 to 1.015),0.119 (-1.255 to 0.666),0.593 (-0.124 to 1.290),0.492 (-0.401 to 1.168),0.615 (-0.232 to 1.485),0.380 (-0.861 to 1.173),0.230 (-0.986 to 0.708),-1.284 (-4.477 to 0.653),0.498 (-0.114 to 0.893),0.450 (-1.042 to 1.639),0.782 (0.380 to 1.541),0.253 (-1.326 to 1.129),0.192 (-1.447 to 1.007),0.804 (0.535 to 1.455),-0.656 (-2.885 to 0.653),0.359 (-0.588 to 0.813),0.164 (-1.479 to 0.934),0.685 (-0.367 to 1.900),0.425 (-0.895 to 1.393),0.740 (-0.261 to 2.016),0.517 (-0.034 to 0.893),0.545 (0.041 to 0.931),0.542 (-0.141 to 1.095),0.554 (-0.111 to 1.122),0.717 (0.292 to 1.367),0.528 (-0.267 to 1.171),0.649 (-0.425 to 1.818),0.665 (0.090 to 1.366),0.503 (-0.052 to 0.856),0.620 (0.098 to 1.171),1.242 (0.559 to 2.429),0.416 (-0.704 to 1.160),0.002 (-1.913 to 0.712)
Acupuncture + AD,0.679 (0.131 to 1.377),NA,0.973 (0.554 to 1.957),1.485 (0.558 to 3.418),1.526 (0.559 to 3.419),1.709 (0.559 to 3.684),0.846 (0.056 to 2.124),0.710 (0.151 to 1.474),0.640 (-0.313 to 1.657),0.801 (0.484 to 1.513),0.427 (-0.386 to 0.883),0.482 (-0.525 to 1.242),0.887 (0.485 to 1.860),1.148 (0.470 to 2.919),1.321 (0.405 to 3.690),0.744 (0.124 to 1.634),-0.540 (-2.814 to 0.653),0.815 (0.278 to 1.765),0.495 (-0.514 to 1.284),0.969 (0.546 to 2.041),0.868 (0.351 to 1.915),0.992 (0.520 to 2.228),0.757 (-0.100 to 1.920),0.606 (-0.225 to 1.446),-0.908 (-3.725 to 0.653),0.875 (0.551 to 1.635),0.826 (-0.290 to 2.387),1.159 (0.559 to 2.301),0.629 (-0.574 to 1.878),0.569 (-0.689 to 1.755),1.180 (0.559 to 2.198),-0.280 (-2.169 to 0.654),0.735 (0.152 to 1.583),0.540 (-0.730 to 1.693),1.061 (0.384 to 2.657),0.801 (-0.147 to 2.140),1.116 (0.488 to 2.764),0.894 (0.556 to 1.633),0.922 (0.558 to 1.668),0.918 (0.543 to 1.883),0.931 (0.546 to 1.902),1.093 (0.554 to 2.371),0.904 (0.475 to 1.936),1.026 (0.332 to 2.563),1.042 (0.557 to 2.121),0.880 (0.555 to 1.602),0.996 (0.558 to 1.912),1.618 (0.559 to 3.237),0.792 (0.026 to 1.931),0.378 (-1.155 to 1.458)
Any AD,0.008 (-1.200 to 0.653),-0.368 (-1.957 to 0.653),NA,0.814 (0.006 to 2.046),0.855 (0.160 to 2.042),1.038 (0.547 to 2.291),0.175 (-1.242 to 0.729),0.039 (-1.113 to 0.653),-0.031 (-1.431 to 0.654),0.130 (-0.762 to 0.653),-0.244 (-1.648 to 0.653),-0.189 (-1.817 to 0.653),0.216 (-0.801 to 0.659),0.478 (-0.786 to 1.499),0.650 (-0.879 to 2.284),0.073 (-1.180 to 0.655),-1.211 (-4.163 to 0.653),0.144 (-1.032 to 0.657),-0.176 (-1.747 to 0.653),0.298 (-0.588 to 0.665),0.197 (-0.835 to 0.657),0.321 (-0.718 to 0.795),0.086 (-1.445 to 0.671),-0.064 (-1.568 to 0.654),-1.578 (-5.039 to 0.653),0.204 (-0.687 to 0.654),0.155 (-1.608 to 1.019),0.488 (-0.159 to 0.903),-0.042 (-1.751 to 0.660),-0.102 (-1.867 to 0.657),0.509 (-0.030 to 0.860),-0.950 (-3.473 to 0.653),0.065 (-1.156 to 0.654),-0.131 (-2.046 to 0.659),0.390 (-0.819 to 1.167),0.131 (-1.470 to 0.788),0.446 (-0.835 to 1.400),0.223 (-0.612 to 0.654),0.251 (-0.543 to 0.654),0.248 (-0.702 to 0.659),0.260 (-0.667 to 0.659),0.423 (-0.533 to 1.016),0.234 (-0.821 to 0.665),0.355 (-0.871 to 1.082),0.371 (-0.419 to 0.701),0.209 (-0.629 to 0.653),0.326 (-0.483 to 0.664),0.948 (0.555 to 1.833),0.121 (-1.290 to 0.669),-0.292 (-2.349 to 0.655)
Any psychotherapy,-0.504 (-2.667 to 0.653),-0.881 (-3.418 to 0.653),-0.210 (-2.046 to 0.654),NA,0.343 (-1.181 to 1.348),0.526 (-0.453 to 1.348),-0.337 (-2.614 to 0.656),-0.473 (-2.604 to 0.653),-0.543 (-2.972 to 0.654),-0.382 (-2.304 to 0.653),-0.756 (-3.158 to 0.653),-0.701 (-3.218 to 0.653),-0.296 (-2.254 to 0.654),-0.034 (-2.159 to 0.824),0.138 (-2.165 to 1.530),-0.439 (-2.600 to 0.653),-1.723 (-5.467 to 0.653),-0.368 (-2.464 to 0.654),-0.688 (-3.198 to 0.653),-0.214 (-2.117 to 0.655),-0.315 (-2.374 to 0.654),-0.191 (-2.179 to 0.657),-0.426 (-2.794 to 0.655),-0.576 (-2.966 to 0.653),-2.090 (-6.320 to 0.653),-0.308 (-2.214 to 0.653),-0.357 (-2.876 to 0.660),-0.024 (-1.661 to 0.659),-0.554 (-3.174 to 0.655),-0.614 (-3.293 to 0.654),-0.003 (-1.578 to 0.659),-1.462 (-4.817 to 0.653),-0.447 (-2.587 to 0.653),-0.643 (-3.352 to 0.654),-0.122 (-2.247 to 0.671),-0.382 (-2.784 to 0.656),-0.066 (-2.157 to 0.699),-0.289 (-2.155 to 0.653),-0.261 (-2.092 to 0.653),-0.265 (-2.166 to 0.654),-0.252 (-2.126 to 0.654),-0.089 (-1.940 to 0.660),-0.279 (-2.075 to 0.653),-0.157 (-2.309 to 0.667),-0.141 (-1.920 to 0.655),-0.303 (-2.178 to 0.653),-0.186 (-1.987 to 0.654),0.435 (-0.744 to 1.277),-0.391 (-2.652 to 0.654),-0.805 (-3.756 to 0.653)
Attention placebo,-0.545 (-2.651 to 0.653),-0.922 (-3.419 to 0.653),-0.251 (-2.042 to 0.653),0.261 (-1.348 to 1.181),NA,0.485 (-0.751 to 1.487),-0.378 (-2.633 to 0.655),-0.514 (-2.582 to 0.653),-0.584 (-2.986 to 0.653),-0.423 (-2.308 to 0.653),-0.797 (-3.156 to 0.653),-0.742 (-3.228 to 0.653),-0.337 (-2.178 to 0.653),-0.075 (-2.181 to 0.692),0.097 (-2.211 to 1.390),-0.480 (-2.612 to 0.653),-1.764 (-5.489 to 0.653),-0.409 (-2.457 to 0.653),-0.729 (-3.211 to 0.653),-0.255 (-2.126 to 0.654),-0.356 (-2.385 to 0.653),-0.232 (-2.195 to 0.655),-0.467 (-2.806 to 0.654),-0.617 (-2.958 to 0.653),-2.131 (-6.334 to 0.653),-0.349 (-2.198 to 0.653),-0.398 (-2.900 to 0.657),-0.065 (-1.634 to 0.655),-0.595 (-3.211 to 0.654),-0.655 (-3.328 to 0.654),-0.044 (-1.567 to 0.655),-1.504 (-4.791 to 0.653),-0.489 (-2.389 to 0.653),-0.684 (-3.361 to 0.653),-0.163 (-2.262 to 0.664),-0.423 (-2.811 to 0.655),-0.107 (-2.180 to 0.670),-0.330 (-2.143 to 0.653),-0.302 (-2.079 to 0.653),-0.306 (-2.043 to 0.653),-0.293 (-2.107 to 0.653),-0.131 (-1.922 to 0.656),-0.320 (-2.253 to 0.654),-0.198 (-2.325 to 0.660),-0.182 (-1.914 to 0.654),-0.344 (-2.164 to 0.653),-0.227 (-1.977 to 0.653),0.394 (-0.674 to 1.037),-0.432 (-2.632 to 0.654),-0.846 (-3.794 to 0.653)
Behavioural therapies individual,-0.728 (-2.918 to 0.653),-1.104 (-3.684 to 0.653),-0.434 (-2.291 to 0.653),0.078 (-1.348 to 0.661),0.120 (-1.487 to 0.751),NA,-0.560 (-2.913 to 0.653),-0.697 (-2.856 to 0.653),-0.767 (-3.263 to 0.653),-0.605 (-2.526 to 0.653),-0.980 (-3.407 to 0.653),-0.924 (-3.502 to 0.653),-0.520 (-2.512 to 0.653),-0.258 (-2.478 to 0.659),-0.086 (-2.509 to 0.972),-0.663 (-2.885 to 0.653),-1.947 (-5.786 to 0.653),-0.592 (-2.732 to 0.653),-0.912 (-3.483 to 0.653),-0.438 (-2.379 to 0.653),-0.539 (-2.646 to 0.653),-0.415 (-2.466 to 0.653),-0.650 (-3.093 to 0.653),-0.800 (-3.248 to 0.653),-2.314 (-6.646 to 0.653),-0.532 (-2.457 to 0.653),-0.580 (-3.211 to 0.654),-0.248 (-1.900 to 0.653),-0.778 (-3.486 to 0.653),-0.838 (-3.604 to 0.653),-0.227 (-1.815 to 0.653),-1.686 (-5.120 to 0.653),-0.671 (-2.857 to 0.653),-0.866 (-3.670 to 0.653),-0.346 (-2.560 to 0.655),-0.605 (-3.095 to 0.653),-0.290 (-2.466 to 0.656),-0.513 (-2.395 to 0.653),-0.485 (-2.330 to 0.653),-0.488 (-2.414 to 0.653),-0.476 (-2.376 to 0.653),-0.313 (-2.217 to 0.653),-0.502 (-2.436 to 0.653),-0.381 (-2.612 to 0.654),-0.365 (-2.175 to 0.653),-0.527 (-2.414 to 0.653),-0.410 (-2.236 to 0.653),0.212 (-0.987 to 0.677),-0.615 (-2.944 to 0.653),-1.028 (-4.074 to 0.653)
Behavioural therapies individual + AD,0.135 (-1.370 to 0.704),-0.242 (-2.124 to 0.654),0.429 (-0.728 to 1.242),0.941 (-0.061 to 2.614),0.982 (0.091 to 2.633),1.165 (0.525 to 2.913),NA,0.166 (-1.319 to 0.776),0.096 (-1.655 to 0.841),0.257 (-1.052 to 0.874),-0.117 (-1.872 to 0.656),-0.062 (-1.926 to 0.665),0.343 (-0.982 to 1.144),0.605 (-0.413 to 1.628),0.777 (-0.550 to 2.455),0.200 (-1.325 to 0.916),-1.084 (-4.177 to 0.653),0.271 (-1.168 to 1.045),-0.049 (-1.898 to 0.667),0.425 (-0.823 to 1.319),0.324 (-1.074 to 1.160),0.448 (-0.889 to 1.470),0.213 (-1.481 to 1.125),0.062 (-1.655 to 0.703),-1.452 (-5.050 to 0.653),0.331 (-0.905 to 1.006),0.282 (-1.608 to 1.537),0.615 (-0.380 to 1.628),0.085 (-1.882 to 1.023),0.025 (-1.997 to 0.898),0.636 (-0.271 to 1.601),-0.824 (-3.538 to 0.653),0.191 (-1.307 to 0.865),-0.004 (-2.079 to 0.851),0.517 (-0.959 to 1.814),0.257 (-1.265 to 1.083),0.572 (-0.625 to 1.699),0.350 (-0.850 to 1.035),0.378 (-0.787 to 1.086),0.374 (-0.898 to 1.186),0.387 (-0.868 to 1.208),0.549 (-0.647 to 1.638),0.360 (-0.983 to 1.216),0.482 (-0.797 to 1.513),0.498 (-0.642 to 1.427),0.336 (-0.871 to 0.999),0.452 (-0.681 to 1.281),1.074 (0.525 to 2.557),0.248 (-1.352 to 1.144),-0.166 (-2.460 to 0.679)
Cognitive and cognitive behavioural therapies group,0.271 (-0.713 to 0.668),-0.105 (-1.474 to 0.653),0.565 (-0.054 to 1.113),1.077 (0.493 to 2.604),1.118 (0.548 to 2.582),1.301 (0.558 to 2.856),0.439 (-0.776 to 1.319),NA,0.232 (-1.101 to 0.819),0.393 (-0.316 to 0.689),0.019 (-1.212 to 0.653),0.075 (-1.346 to 0.660),0.479 (-0.306 to 1.012),0.741 (-0.350 to 2.116),0.913 (-0.412 to 2.877),0.336 (-0.689 to 0.819),-0.948 (-3.662 to 0.653),0.407 (-0.542 to 0.958),0.087 (-1.317 to 0.662),0.561 (-0.193 to 1.226),0.460 (-0.464 to 1.102),0.584 (-0.304 to 1.427),0.349 (-0.946 to 1.139),0.199 (-1.078 to 0.688),-1.315 (-4.520 to 0.653),0.467 (-0.222 to 0.883),0.419 (-1.095 to 1.547),0.751 (0.344 to 1.452),0.221 (-1.369 to 1.053),0.161 (-1.481 to 0.919),0.772 (0.429 to 1.452),-0.687 (-2.947 to 0.653),0.328 (-0.646 to 0.754),0.133 (-1.533 to 0.862),0.653 (-0.419 to 1.821),0.394 (-0.979 to 1.344),0.709 (-0.349 to 1.965),0.486 (-0.152 to 0.887),0.514 (-0.080 to 0.930),0.511 (-0.174 to 1.007),0.523 (-0.150 to 1.035),0.686 (-0.028 to 1.567),0.497 (-0.341 to 1.119),0.618 (-0.478 to 1.744),0.634 (0.061 to 1.266),0.472 (-0.171 to 0.851),0.589 (-0.015 to 1.160),1.211 (0.559 to 2.364),0.384 (-0.775 to 1.106),-0.029 (-1.960 to 0.682)
Cognitive and cognitive behavioural therapies group + AD,0.341 (-0.908 to 1.064),-0.035 (-1.657 to 0.658),0.635 (-0.099 to 1.431),1.147 (0.410 to 2.972),1.188 (0.533 to 2.986),1.371 (0.556 to 3.263),0.508 (-0.841 to 1.655),0.372 (-0.819 to 1.101),NA,0.463 (-0.549 to 1.193),0.089 (-1.371 to 0.666),0.144 (-1.451 to 0.818),0.549 (-0.499 to 1.487),0.811 (-0.360 to 2.396),0.983 (-0.391 to 3.120),0.406 (-0.854 to 1.257),-0.878 (-3.730 to 0.653),0.477 (-0.704 to 1.391),0.157 (-1.393 to 0.819),0.631 (-0.305 to 1.620),0.530 (-0.535 to 1.446),0.654 (-0.371 to 1.785),0.419 (-1.033 to 1.499),0.269 (-1.206 to 1.077),-1.245 (-4.583 to 0.653),0.537 (-0.445 to 1.386),0.488 (-1.154 to 1.878),0.821 (0.103 to 1.971),0.291 (-1.328 to 1.287),0.231 (-1.447 to 1.161),0.842 (0.191 to 1.973),-0.617 (-3.078 to 0.653),0.398 (-0.829 to 1.216),0.202 (-1.615 to 1.214),0.723 (-0.408 to 2.088),0.464 (-1.047 to 1.684),0.779 (-0.415 to 2.304),0.556 (-0.390 to 1.399),0.584 (-0.320 to 1.453),0.581 (-0.408 to 1.521),0.593 (-0.386 to 1.550),0.756 (-0.186 to 2.004),0.567 (-0.497 to 1.560),0.688 (-0.468 to 2.010),0.704 (-0.144 to 1.753),0.542 (-0.406 to 1.370),0.659 (-0.218 to 1.645),1.281 (0.557 to 2.898),0.454 (-0.906 to 1.505),0.041 (-1.911 to 0.869)
