treatment_1,Acupuncture,Acupuncture + AD,Any AD,Any psychotherapy,Attention placebo,Behavioural therapies individual,Behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies group,Cognitive and cognitive behavioural therapies group + AD,Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Counselling individual,Counselling individual + AD,Counselling individual + placebo,Exercise group,Exercise group + AD,Exercise individual,Exercise individual + AD,Interpersonal psychotherapy (IPT) individual,Interpersonal psychotherapy (IPT) individual + AD,Interpersonal psychotherapy (IPT) individual + placebo,Light therapy,Light therapy + AD,Mindfulness or meditation group,Mirtazapine,Music therapy group,No treatment,Peer support group,Peer support group + AD,Placebo,Problem solving group,Problem solving individual,Psychoeducation group,Psychoeducation group + AD,Relaxation individual + AD,Relaxation individual + placebo,SNRIs,SSRIs,Self-help,Self-help with support,Sham acupuncture,Short-term psychodynamic psychotherapies individual,Short-term psychodynamic psychotherapies individual + AD,TAU,TCAs,Trazodone,Waitlist,Yoga group,Yoga group + AD
Acupuncture,NA,-0.07415224810904017,0.5965701494311703,1.1086937315167837,1.1497283791474833,1.3324829993440854,0.46980770435358493,0.33353163228876076,0.26358538018188993,0.4247605061215294,0.05021933370573788,0.10581070118124834,0.5103189812414275,0.7720543417391988,0.9446898838884535,0.3676774428469284,-0.9168733597800459,0.4381341369067707,0.11859118740476227,0.5925799079898957,0.49159785355944136,0.615319857325789,0.380265553659094,0.23003079906287818,-1.28398299281274,0.49832867431153277,0.4498052313740728,0.7822469480381798,0.2527014184816881,0.19226394530461052,0.8035276871779037,-0.6560418491688276,0.3589487654778396,0.16380762685211034,0.6845573357833333,0.42489644425278084,0.7399815496163995,0.5172538858735607,0.5452978774717018,0.5418459741425827,0.5544704211745126,0.7169487024749266,0.5278365168058837,0.6494173934230513,0.6654777659416153,0.5030915672739376,0.6199721603070943,1.2419255654278036,0.41557343037964445,0.001914915369880319
Acupuncture + AD,0.6786659444557493,NA,0.9729792457135651,1.4851028277991787,1.5261374754298782,1.7088920956264804,0.8462168006359797,0.7099407285711556,0.6399944764642848,0.8011696024039242,0.4266284299881327,0.48221979746364313,0.8867280775238223,1.1484634380215937,1.3210989801708484,0.7440865391293231,-0.5404642634976511,0.8145432331891655,0.49500028368715704,0.9689890042722905,0.8680069498418361,0.9917289536081838,0.7566746499414888,0.606439895345273,-0.907573896530345,0.8747377705939275,0.8262143276564676,1.1586560443205747,0.6291105147640829,0.5686730415870054,1.1799367834602985,-0.27963275288643274,0.7353578617602344,0.5402167231345051,1.0609664320657282,0.8013055405351756,1.1163906458987944,0.8936629821559555,0.9217069737540966,0.9182550704249776,0.9308795174569074,1.0933577987573213,0.9042456130882784,1.025826489705446,1.04188686222401,0.8795006635563324,0.9963812565894892,1.6183346617101984,0.7919825266620393,0.37832401165227514
Any AD,0.007943546915538889,-0.3684655493668559,NA,0.8143804302589681,0.8554150778896676,1.0381696980862698,0.17549440309576925,0.039218331030945054,-0.03072792107592581,0.1304472048637137,-0.2440939675520778,-0.18850260007656738,0.2160056799836118,0.4777410404813832,0.6503765826306378,0.07336414158911264,-1.2111866610378617,0.143820835648955,-0.17572211385305345,0.29826660673208,0.19728455230162567,0.3210065560679733,0.08595225240127831,-0.06428250219493754,-1.5782962940705556,0.20401537305371706,0.1554919301162571,0.4879336467803642,-0.041611882776127554,-0.10204935595320515,0.509214385920088,-0.9503551504266432,0.06463546422002392,-0.1305056744057054,0.39024403452551765,0.1305831429949651,0.4456682483585838,0.222940584615745,0.2509845762138861,0.24753267288476702,0.260157119916697,0.42263540121711085,0.23352321554806796,0.3551040921652356,0.37116446468379966,0.20877826601612193,0.32565885904927866,0.9476122641699879,0.12126012912182878,-0.2923983858879353
Any psychotherapy,-0.5041800351700746,-0.8805891314524694,-0.20986673391225888,NA,0.3432914958040541,0.5260461160006563,-0.3366291789898443,-0.4729052510546684,-0.5428515031615392,-0.38167637722189984,-0.7562175496376913,-0.7006261821621809,-0.29611790210200173,-0.0343825416042303,0.13825300054502435,-0.4387594404965008,-1.723310243123475,-0.3683027464366585,-0.6878456959386671,-0.2138569753535335,-0.3148390297839878,-0.19111702601764027,-0.42617132968433524,-0.5764060842805511,-2.090419876156169,-0.30810820903189645,-0.3566316519693565,-0.02418993530524927,-0.5537354648617411,-0.6141729380388187,-0.0029091961655254815,-1.4624787325122568,-0.4474881178655896,-0.6426292564913189,-0.12187954756009589,-0.38154043909064844,-0.06645533372702968,-0.2891829974698685,-0.26113900587172745,-0.26459090920084655,-0.25196646216891655,-0.0894881808685026,-0.2786003665375455,-0.15701948992037798,-0.1409591174018139,-0.3033453160694916,-0.18646472303633488,0.43548868208437436,-0.3908634529637847,-0.8045219679735488
Attention placebo,-0.5452146828007741,-0.921623779083169,-0.2509013815429584,0.26122220054265505,NA,0.4850114683699568,-0.37766382662054376,-0.5139398986853679,-0.5838861507922388,-0.4227110248525993,-0.7972521972683907,-0.7416608297928804,-0.33715254973270126,-0.07541718923492977,0.09721835291432479,-0.47979408812720037,-1.7643448907541746,-0.409337394067358,-0.7288803435693665,-0.254891622984233,-0.3558736774146873,-0.23215167364833975,-0.4672059773150347,-0.6174407319112505,-2.1314545237868687,-0.349142856662596,-0.39766629960005595,-0.06522458293594875,-0.5947701124924406,-0.6552075856695181,-0.043943843796224964,-1.5035133801429563,-0.4885227654962891,-0.6836639041220184,-0.16291419519079536,-0.4225750867213479,-0.10748998135772915,-0.330217645100568,-0.3021736535024269,-0.305625556831546,-0.293001109799616,-0.13052282849920216,-0.319635014168245,-0.19805413755107745,-0.18199376503251338,-0.3443799637001911,-0.22749937066703435,0.39445403445367483,-0.4318981005944842,-0.8455566156042483
Behavioural therapies individual,-0.7279693029973763,-1.104378399279771,-0.4336560017395606,0.07846758034605292,0.11950222797675242,NA,-0.5604184468171459,-0.6966945188819701,-0.7666407709888411,-0.6054656450492015,-0.980006817464993,-0.9244154499894826,-0.5199071699293034,-0.25817180943153195,-0.08553626728227735,-0.6625487083238025,-1.9470995109507767,-0.5920920142639602,-0.9116349637659688,-0.4376462431808352,-0.5386282976112895,-0.414906293844942,-0.6499605975116369,-0.8001953521078528,-2.314209143983471,-0.5318974768591982,-0.5804209197966582,-0.24797920313255095,-0.7775247326890428,-0.8379622058661202,-0.22669846399282717,-1.6862680003395585,-0.6712773856928913,-0.8664185243186205,-0.3456688153873976,-0.6053297069179501,-0.29024460155433135,-0.5129722652971702,-0.48492827369902913,-0.48838017702814823,-0.47575572999621824,-0.31327744869580426,-0.5023896343648472,-0.38080875774767964,-0.3647483852291156,-0.5271345838967932,-0.41025399086363656,0.21169941425707264,-0.6146527207910863,-1.0283112358008506
Behavioural therapies individual + AD,0.13470599199312425,-0.24170310428927055,0.42901929325093996,0.9411428753365535,0.982177522967253,1.164932143163855,NA,0.1659807761085305,0.09603452400165954,0.2572096499412991,-0.11733152247449241,-0.06174015499898203,0.34276812506119714,0.6045034855589686,0.7771390277082232,0.200126586666698,-1.0844242159602762,0.27058328072654037,-0.048959668775468104,0.4250290518096654,0.32404699737921105,0.4477690011455587,0.21271469747886368,0.062479942882647826,-1.45153384899297,0.3307778181313024,0.28225437519384244,0.6146960918579496,0.08515056230145779,0.024713089124380236,0.6359768309976734,-0.8235927053490579,0.19139790929760928,-0.003743229328120021,0.517006479603103,0.2573455880725505,0.5724306934361693,0.3497030296933304,0.3777470212914714,0.3742951179623524,0.3869195649942823,0.5493978462946962,0.36028566062565337,0.48186653724282097,0.49792690976138504,0.3355407110937073,0.452421304126864,1.0743747092475733,0.24802257419941415,-0.16563594081035
Cognitive and cognitive behavioural therapies group,0.27098206405794845,-0.10542703222444642,0.5652953653157641,1.0774189474013776,1.118453595032077,1.3012082152286792,0.43853292023817875,NA,0.23231059606648374,0.3934857220061232,0.018944549590331705,0.07453591706584219,0.4790441971260213,0.7407795576237927,0.9134150997730474,0.3364026587315222,-0.9481481438954521,0.40685935279136454,0.08731640328935611,0.5613051238744895,0.46032306944403517,0.5840450732103828,0.3489907695436878,0.19875601494747194,-1.3152577769281462,0.4670538901961266,0.4185304472586666,0.7509721639227737,0.22142663436628193,0.16098916118920437,0.7722529030624975,-0.6873166332842338,0.3276739813624334,0.13253284273670415,0.6532825516679271,0.39362166013737465,0.7087067655009933,0.48597910175815456,0.5140230933562956,0.5105711900271765,0.5231956370591064,0.6856739183595204,0.4965617326904775,0.6181426093076451,0.6342029818262092,0.4718167831585314,0.5886973761916882,1.2106507813123975,0.38429864626423826,-0.029359868745525847
Cognitive and cognitive behavioural therapies group + AD,0.34092831616481933,-0.035480780117575474,0.635241617422635,1.1473651995082486,1.188399847138948,1.3711544673355502,0.5084791723450496,0.37220310028022546,NA,0.4634319741129941,0.08889080169720258,0.14448216917271303,0.5489904492328922,0.8107258097306635,0.9833613518799182,0.40634891083839303,-0.8782018917885812,0.4768056048982354,0.15726265539622697,0.6312513759813604,0.530269321550906,0.6539913253172537,0.4189370216505587,0.26870226705434286,-1.2453115248212752,0.5370001423029974,0.48847669936553745,0.8209184160296445,0.2913728864731528,0.23093541329607523,0.8421991551693684,-0.6173703811773629,0.3976202334693043,0.20247909484357504,0.723228803774798,0.4635679122442455,0.7786530176078642,0.5559253538650254,0.5839693454631665,0.5805174421340474,0.5931418891659773,0.7556201704663913,0.5665079847973484,0.688088861414516,0.70414923393308,0.5417630352654023,0.658643628298559,1.2805970334192682,0.45424489837110915,0.040586383361345034
Cognitive and cognitive behavioural therapies individual,0.17975319022517983,-0.19665590605721497,0.4740664914829955,0.986190073568609,1.0272247211993084,1.2099793413959108,0.3473040464054101,0.21102797434058598,0.14108172223371512,NA,-0.07228432424243693,-0.016692956766926448,0.3878153232932527,0.6495506837910241,0.8221862259402787,0.24517378489875358,-1.0393770177282207,0.3156304789585959,-0.003912470543412536,0.4700762500417209,0.36909419561126655,0.4928161993776142,0.25776189571091923,0.10752714111470339,-1.4064866507609146,0.37582501636335797,0.327301573425898,0.6597432900900051,0.1301977605335133,0.0697602873564358,0.6810240292297289,-0.7785455071170023,0.23644510752966483,0.041303968903935555,0.5620536778351586,0.30239278630460603,0.6174778916682248,0.39475022792538594,0.42279421952352697,0.4193423161944079,0.43196676322633787,0.5944450445267517,0.4053328588577089,0.5269137354748765,0.5429741079934406,0.3805879093257628,0.49746850235891954,1.1194219074796288,0.2930697724314697,-0.12058874257829447
