removed_direct_comp,n_affected,mean_abs_change,median_abs_change,p95_abs_change,max_abs_change,n_large_01,n_large_02
Self-help with support:Waitlist,125,0.013300192,0,6.559999999984356e-5,1.0577410000000005,2,2
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual,128,0.01118787499999999,0,2.6454999999998797e-4,0.7373559999999999,2,2
Cognitive and cognitive behavioural therapies group:Self-help,126,0.008989388888888889,0,1.932499999997006e-4,1.0577410000000005,1,1
Cognitive and cognitive behavioural therapies group:Self-help with support,126,0.008989388888888889,0,1.932499999997006e-4,1.0577410000000005,1,1
Self-help:Self-help with support,126,0.008989388888888889,0,1.932499999997006e-4,1.0577410000000005,1,1
Any AD:Interpersonal psychotherapy (IPT) individual + placebo,125,0.008538591999999996,0,1.121999999997847e-4,0.569177,2,2
Interpersonal psychotherapy (IPT) individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,125,0.008538591999999996,0,1.121999999997847e-4,0.569177,2,2
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + AD,125,0.008538591999999996,0,1.121999999997847e-4,0.569177,2,2
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + placebo,125,0.008538591999999996,0,1.121999999997847e-4,0.569177,2,2
Self-help:Waitlist,125,0.008503095999999998,0,1.8380000000000046e-4,1.0577410000000005,1,1
Placebo:SSRIs,119,0.008031008403361338,0,0.03576959999999992,0.27376,2,1
Cognitive and cognitive behavioural therapies individual:Self-help with support,127,0.006976370078740164,0,4.999000000003749e-4,0.5162749999999998,3,2
Cognitive and cognitive behavioural therapies individual:TCAs,121,0.006906735537190086,0,0.00153700000000001,0.327956,4,2
Cognitive and cognitive behavioural therapies individual:Waitlist,127,0.006788196850393695,0,1.6639999999975495e-4,0.6900139999999997,2,1
Cognitive and cognitive behavioural therapies group:Waitlist,124,0.006585677419354837,0,6.35249999999836e-4,0.737357,1,1
Exercise individual + AD:No treatment,126,0.00600889682539682,0,1.7474999999994578e-4,0.693943,1,1
Exercise individual + AD:SSRIs,126,0.00600889682539682,0,1.7474999999994578e-4,0.693943,1,1
Exercise individual:Exercise individual + AD,126,0.00600889682539682,0,1.7474999999994578e-4,0.693943,1,1
No treatment:SSRIs,125,0.005985095999999993,0,1.7359999999966289e-4,0.693943,1,1
Exercise individual:SSRIs,121,0.005874479338842967,0,1.3900000000000023e-4,0.693943,1,1
Cognitive and cognitive behavioural therapies individual:Counselling individual,126,0.005812753968253976,0,9.442500000003129e-4,0.592835,2,1
Any AD:Cognitive and cognitive behavioural therapies individual,128,0.005716835937500005,0,2.1220000000021772e-4,0.535942,2,1
Counselling individual:Self-help,128,0.005682156250000006,0,4.45750000000311e-4,0.592835,2,1
Any AD:Interpersonal psychotherapy (IPT) individual,124,0.005678854838709682,0,1.9730000000000016e-4,0.4966,2,1
Placebo:TCAs,114,0.005560710526315795,0,0.01111250000000007,0.204916,2,1
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,123,0.005144869918699192,0,0.0010602000000000974,0.327956,2,1
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual,125,0.005092408000000001,0,6.898000000000515e-4,0.535942,1,1
Placebo:SNRIs,128,0.004901187499999995,0,0.01829594999999982,0.272761,1,1
No treatment:Self-help,128,0.004685484374999997,0,8.094999999992412e-5,0.491201,2,1
Any AD:Interpersonal psychotherapy (IPT) individual + AD,122,0.004666516393442614,0,9.849999999639281e-6,0.569177,1,1
Cognitive and cognitive behavioural therapies individual + AD:TCAs,126,0.004652420634920645,0,5.027500000001073e-4,0.327956,2,1
Cognitive and cognitive behavioural therapies individual + placebo:TCAs,127,0.004376299212598431,0,2.1320000000021313e-4,0.327956,2,1
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,127,0.004376299212598431,0,2.1320000000021313e-4,0.327956,2,1
Cognitive and cognitive behavioural therapies individual:No treatment,127,0.003902472440944888,0,2.866000000001133e-4,0.491201,1,1
Any AD:Psychoeducation group + AD,127,0.0037835826771653613,0,7.43000000000379e-5,0.4793289999999999,1,1
Interpersonal psychotherapy (IPT) individual + AD:Psychoeducation group + AD,127,0.0037835826771653613,0,7.43000000000379e-5,0.4793289999999999,1,1
Cognitive and cognitive behavioural therapies individual:TAU,124,0.003230669354838719,0,0.001236050000000062,0.17359800000000003,2,0
SNRIs:SSRIs,128,0.002620968749999992,0,0.008683599999999786,0.14232599999999995,1,0
Cognitive and cognitive behavioural therapies individual:Placebo,126,0.002310206349206351,0,4.607500000000652e-4,0.204916,1,1
Interpersonal psychotherapy (IPT) individual:Placebo,126,0.002310206349206351,0,4.607500000000652e-4,0.204916,1,1
Interpersonal psychotherapy (IPT) individual:TCAs,126,0.002310206349206351,0,4.607500000000652e-4,0.204916,1,1
Self-help with support:Short-term psychodynamic psychotherapies individual,128,0.002306054687500006,0,1.356000000001689e-4,0.213434,1,1
Cognitive and cognitive behavioural therapies individual + AD:TAU,127,0.002162039370078743,0,3.186000000000132e-4,0.17359800000000003,1,0
SSRIs:TAU,127,0.002162039370078743,0,3.186000000000132e-4,0.17359800000000003,1,0
Cognitive and cognitive behavioural therapies individual:SSRIs,126,0.0020968412698412755,0,4.58000000000125e-4,0.17359800000000003,1,0
Counselling individual:TAU,128,0.0020277500000000035,0,5.040500000001778e-4,0.12690600000000002,2,0
Cognitive and cognitive behavioural therapies individual:Self-help,126,0.0019162777777777871,0,4.135000000001776e-4,0.128427,2,0
SNRIs:TCAs,128,0.001877257812500001,0,0.002083700000000083,0.104972,1,0
Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,126,0.0018082063492063554,0,2.0425000000010018e-4,0.13412400000000002,1,0
Acupuncture:Waitlist,127,0.0017548346456692841,0,3.031999999997297e-4,0.21802699999999997,1,1
