t1,t2,network_estimate,estimate_norm,full_value,reduced_value,has_direct,contrast_type,removed_direct_comp,removed_direct_norm,n_removed_studies,change,abs_change
Any psychotherapy,Behavioural therapies individual,Any psychotherapy:Behavioural therapies individual,Anypsychotherapy:Behaviouraltherapiesindividual,0.251478,0.251478,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
Any AD,Cognitive and cognitive behavioural therapies group,Any AD:Cognitive and cognitive behavioural therapies group,AnyAD:Cognitiveandcognitivebehaviouraltherapiesgroup,-0.709809,-0.709809,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
Any AD,Cognitive and cognitive behavioural therapies group + AD,Any AD:Cognitive and cognitive behavioural therapies group + AD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesgroup+AD,0.664339,0.664195,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,-1.44000000000033e-4,1.44000000000033e-4
Any AD,Cognitive and cognitive behavioural therapies individual,Any AD:Cognitive and cognitive behavioural therapies individual,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual,-0.452206,-0.451945,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,2.610000000000112e-4,2.610000000000112e-4
Behavioural therapies individual,Cognitive and cognitive behavioural therapies individual,Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,2.108881,2.107545,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,-0.0013359999999997818,0.0013359999999997818
Cognitive and cognitive behavioural therapies group,Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual,Cognitiveandcognitivebehaviouraltherapiesgroup:Cognitiveandcognitivebehaviouraltherapiesindividual,0.472502,0.472502,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
Any AD,Cognitive and cognitive behavioural therapies individual + AD,Any AD:Cognitive and cognitive behavioural therapies individual + AD,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual+AD,4.715432,4.715432,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,Cognitiveandcognitivebehaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual+AD,0.189697,0.18972,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,2.2999999999995246e-5,2.2999999999995246e-5
Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + placebo,Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,Cognitiveandcognitivebehaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual+placebo,0.688418,0.688418,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:Cognitiveandcognitivebehaviouraltherapiesindividual+placebo,0.052233,0.051855,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,-3.7800000000000333e-4,3.7800000000000333e-4
Cognitive and cognitive behavioural therapies individual,Counselling individual,Cognitive and cognitive behavioural therapies individual:Counselling individual,Cognitiveandcognitivebehaviouraltherapiesindividual:Counsellingindividual,-0.208458,-0.208479,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,-2.0999999999993246e-5,2.0999999999993246e-5
Behavioural therapies individual + AD,Counselling individual + AD,Behavioural therapies individual + AD:Counselling individual + AD,Behaviouraltherapiesindividual+AD:Counsellingindividual+AD,-0.648026,-0.648026,TRUE,has_direct(+indirect),Mirtazapine:Placebo,Mirtazapine:Placebo,6,0,0
