removed_direct_comp,removed_direct_norm,n_removed_studies,status,status_msg,disconnected_flag,n_common_estimable,mean_abs_change_all,max_abs_change_all,n_common_directtype,mean_abs_change_directtype,max_abs_change_directtype,n_common_indirecttype,mean_abs_change_indirecttype,max_abs_change_indirecttype
Self-help:Waitlist,Self-help:Waitlist,5,ok,Model + league + compare succeeded,FALSE,125,0.008503095999999998,1.0577410000000005,125,0.008503095999999998,1.0577410000000005,0,NA,-Inf
Self-help with support:Waitlist,Self-helpwithsupport:Waitlist,4,ok,Model + league + compare succeeded,FALSE,125,0.013300192,1.0577410000000005,125,0.013300192,1.0577410000000005,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:Self-help,Cognitiveandcognitivebehaviouraltherapiesgroup:Self-help,1,ok,Model + league + compare succeeded,FALSE,126,0.008989388888888889,1.0577410000000005,126,0.008989388888888889,1.0577410000000005,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:Self-help with support,Cognitiveandcognitivebehaviouraltherapiesgroup:Self-helpwithsupport,1,ok,Model + league + compare succeeded,FALSE,126,0.008989388888888889,1.0577410000000005,126,0.008989388888888889,1.0577410000000005,0,NA,-Inf
Self-help:Self-help with support,Self-help:Self-helpwithsupport,1,ok,Model + league + compare succeeded,FALSE,126,0.008989388888888889,1.0577410000000005,126,0.008989388888888889,1.0577410000000005,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:Waitlist,Cognitiveandcognitivebehaviouraltherapiesgroup:Waitlist,2,ok,Model + league + compare succeeded,FALSE,124,0.006585677419354837,0.737357,124,0.006585677419354837,0.737357,0,NA,-Inf
Cognitive and cognitive behavioural therapies group:Cognitive and cognitive behavioural therapies individual,Cognitiveandcognitivebehaviouraltherapiesgroup:Cognitiveandcognitivebehaviouraltherapiesindividual,1,ok,Model + league + compare succeeded,FALSE,128,0.01118787499999999,0.7373559999999999,128,0.01118787499999999,0.7373559999999999,0,NA,-Inf
Exercise individual:SSRIs,Exerciseindividual:SSRIs,2,ok,Model + league + compare succeeded,FALSE,121,0.005874479338842967,0.693943,121,0.005874479338842967,0.693943,0,NA,-Inf
No treatment:SSRIs,Notreatment:SSRIs,2,ok,Model + league + compare succeeded,FALSE,125,0.005985095999999993,0.693943,125,0.005985095999999993,0.693943,0,NA,-Inf
Exercise individual + AD:No treatment,Exerciseindividual+AD:Notreatment,1,ok,Model + league + compare succeeded,FALSE,126,0.00600889682539682,0.693943,126,0.00600889682539682,0.693943,0,NA,-Inf
Exercise individual + AD:SSRIs,Exerciseindividual+AD:SSRIs,1,ok,Model + league + compare succeeded,FALSE,126,0.00600889682539682,0.693943,126,0.00600889682539682,0.693943,0,NA,-Inf
Exercise individual:Exercise individual + AD,Exerciseindividual:Exerciseindividual+AD,1,ok,Model + league + compare succeeded,FALSE,126,0.00600889682539682,0.693943,126,0.00600889682539682,0.693943,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Waitlist,Cognitiveandcognitivebehaviouraltherapiesindividual:Waitlist,3,ok,Model + league + compare succeeded,FALSE,127,0.006788196850393695,0.6900139999999997,127,0.006788196850393695,0.6900139999999997,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:Counselling individual,Cognitiveandcognitivebehaviouraltherapiesindividual:Counsellingindividual,2,ok,Model + league + compare succeeded,FALSE,126,0.005812753968253976,0.592835,126,0.005812753968253976,0.592835,0,NA,-Inf
Counselling individual:Self-help,Counsellingindividual:Self-help,1,ok,Model + league + compare succeeded,FALSE,128,0.005682156250000006,0.592835,128,0.005682156250000006,0.592835,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + AD,Interpersonalpsychotherapy(IPT)individual:Interpersonalpsychotherapy(IPT)individual+AD,1,ok,Model + league + compare succeeded,FALSE,125,0.008538591999999996,0.569177,125,0.008538591999999996,0.569177,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + placebo,Interpersonalpsychotherapy(IPT)individual:Interpersonalpsychotherapy(IPT)individual+placebo,1,ok,Model + league + compare succeeded,FALSE,125,0.008538591999999996,0.569177,125,0.008538591999999996,0.569177,0,NA,-Inf
Any AD:Interpersonal psychotherapy (IPT) individual + placebo,AnyAD:Interpersonalpsychotherapy(IPT)individual+placebo,1,ok,Model + league + compare succeeded,FALSE,125,0.008538591999999996,0.569177,125,0.008538591999999996,0.569177,0,NA,-Inf
Interpersonal psychotherapy (IPT) individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,Interpersonalpsychotherapy(IPT)individual+AD:Interpersonalpsychotherapy(IPT)individual+placebo,1,ok,Model + league + compare succeeded,FALSE,125,0.008538591999999996,0.569177,125,0.008538591999999996,0.569177,0,NA,-Inf
Any AD:Interpersonal psychotherapy (IPT) individual + AD,AnyAD:Interpersonalpsychotherapy(IPT)individual+AD,2,ok,Model + league + compare succeeded,FALSE,122,0.004666516393442614,0.569177,122,0.004666516393442614,0.569177,0,NA,-Inf
