t1,t2,network_estimate,estimate_norm,full_value,reduced_value,has_direct,contrast_type,removed_direct_comp,removed_direct_norm,n_removed_studies,change,abs_change
Cognitive and cognitive behavioural therapies group,Waitlist,Cognitive and cognitive behavioural therapies group:Waitlist,Cognitiveandcognitivebehaviouraltherapiesgroup:Waitlist,-2.958528,-4.016269,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-1.0577410000000005,1.0577410000000005
Self-help with support,Waitlist,Self-help with support:Waitlist,Self-helpwithsupport:Waitlist,-1.374967,-1.377599,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-0.00263199999999996,0.00263199999999996
Cognitive and cognitive behavioural therapies individual,Waitlist,Cognitive and cognitive behavioural therapies individual:Waitlist,Cognitiveandcognitivebehaviouraltherapiesindividual:Waitlist,-1.827518,-1.827073,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,4.450000000000287e-4,4.450000000000287e-4
Acupuncture,SSRIs,Acupuncture:SSRIs,Acupuncture:SSRIs,-0.919457,-0.919174,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,2.829999999999222e-4,2.829999999999222e-4
Placebo,SNRIs,Placebo:SNRIs,Placebo:SNRIs,0.740949,0.740724,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-2.249999999999197e-4,2.249999999999197e-4
Behavioural therapies individual,Cognitive and cognitive behavioural therapies individual,Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,2.108881,2.108677,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-2.039999999996489e-4,2.039999999996489e-4
Problem solving group,Waitlist,Problem solving group:Waitlist,Problemsolvinggroup:Waitlist,-3.669046,-3.668849,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,1.9700000000000273e-4,1.9700000000000273e-4
Acupuncture,Sham acupuncture,Acupuncture:Sham acupuncture,Acupuncture:Shamacupuncture,-0.531807,-0.531676,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,1.3099999999999223e-4,1.3099999999999223e-4
Cognitive and cognitive behavioural therapies individual,Self-help,Cognitive and cognitive behavioural therapies individual:Self-help,Cognitiveandcognitivebehaviouraltherapiesindividual:Self-help,-0.398416,-0.398307,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,1.0899999999997025e-4,1.0899999999997025e-4
Exercise individual,No treatment,Exercise individual:No treatment,Exerciseindividual:Notreatment,-0.632998,-0.632891,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,1.0699999999996825e-4,1.0699999999996825e-4
Counselling individual,Problem solving individual,Counselling individual:Problem solving individual,Counsellingindividual:Problemsolvingindividual,0.613477,0.613376,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-1.0100000000001774e-4,1.0100000000001774e-4
SNRIs,SSRIs,SNRIs:SSRIs,SNRIs:SSRIs,-0.321387,-0.321311,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,7.599999999996498e-5,7.599999999996498e-5
Acupuncture + AD,SSRIs,Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,-1.227003,-1.227069,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-6.599999999989947e-5,6.599999999989947e-5
Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,Cognitiveandcognitivebehaviouraltherapiesindividual+AD:Cognitiveandcognitivebehaviouraltherapiesindividual+placebo,0.052233,0.052175,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-5.8000000000002494e-5,5.8000000000002494e-5
Placebo,TCAs,Placebo:TCAs,Placebo:TCAs,0.585739,0.585691,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,-4.8000000000048e-5,4.8000000000048e-5
Any AD,Cognitive and cognitive behavioural therapies individual,Any AD:Cognitive and cognitive behavioural therapies individual,AnyAD:Cognitiveandcognitivebehaviouraltherapiesindividual,-0.452206,-0.452166,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,3.999999999998449e-5,3.999999999998449e-5
Any AD,Interpersonal psychotherapy (IPT) individual,Any AD:Interpersonal psychotherapy (IPT) individual,AnyAD:Interpersonalpsychotherapy(IPT)individual,-0.173851,-0.173815,TRUE,has_direct(+indirect),Self-help:Waitlist,Self-help:Waitlist,5,3.600000000000825e-5,3.600000000000825e-5
