network_estimate;n_times;mean_abs_change;median_abs_change;p95_abs_change;max_abs_change;worst_removed_comp
Cognitive and cognitive behavioural therapies group:Waitlist;128;0.05310921093750008;2.1500000000029829e-4;0.46156584999999417;1.0577410000000005;Self-help:Waitlist
Cognitive and cognitive behavioural therapies individual:Waitlist;128;0.021513000000000004;4.139999999999144e-4;0.021008049999999907;0.737357;Cognitive and cognitive behavioural therapies group:Waitlist
Exercise individual:No treatment;128;0.02759067187500001;1.0449999999995185e-4;0.008213949999999876;0.693943;Exercise individual:SSRIs
Cognitive and cognitive behavioural therapies individual:Self-help;128;0.017442101562500006;1.0100000000001774e-4;0.005237549999999991;0.592835;Cognitive and cognitive behavioural therapies individual:Counselling individual
Any AD:Interpersonal psychotherapy (IPT) individual;128;0.030775859375;3.550000000000775e-5;0.35074824999999554;0.569177;Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + AD
Any AD:Interpersonal psychotherapy (IPT) individual + AD;128;0.026976796875;1.899999999999125e-5;0.3128203499999959;0.4966;Any AD:Interpersonal psychotherapy (IPT) individual
Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo;128;0.013074164062500001;5.4499999999998994e-5;0.004578299999999979;0.327956;Cognitive and cognitive behavioural therapies individual:TCAs
SNRIs:SSRIs;128;0.0044286718750000086;7.00000000000145e-5;6.762000000000204e-4;0.27376;Placebo:SSRIs
Acupuncture:Sham acupuncture;128;0.004004187499999993;1.2099999999992672e-4;0.002654300000000004;0.21802699999999997;Acupuncture:Waitlist
Cognitive and cognitive behavioural therapies individual:Short-term psychodynamic psychotherapies individual;128;0.0034885312500000007;3.0000000000002247e-5;6.553499999999992e-4;0.213434;Cognitive and cognitive behavioural therapies individual:Self-help with support
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual;128;0.01107771875;1.2000000000005062e-5;0.12628054999999838;0.204916;Placebo:TCAs
Mirtazapine:Placebo;128;0.002894031249999981;2.9500000000015625e-5;3.927000000000123e-4;0.1765850000000001;Mirtazapine:TCAs
Cognitive and cognitive behavioural therapies individual + AD:SSRIs;128;0.006837804687499996;1.0999999999983244e-5;9.870000000000109e-4;0.17359800000000003;Cognitive and cognitive behavioural therapies individual:SSRIs
Placebo:SNRIs;128;0.002948250000000009;2.0900000000001473e-4;0.002439500000000025;0.16287200000000002;Placebo:SSRIs
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD;128;0.006023140625000003;3.0000000000030003e-6;0.05882709999999961;0.153674;Cognitive and cognitive behavioural therapies individual:TCAs
Self-help with support:Waitlist;128;0.002543085937500007;1.8000000000073513e-5;0.00263100000000005;0.15057699999999996;Cognitive and cognitive behavioural therapies individual:Waitlist
Cognitive and cognitive behavioural therapies individual + AD:TCAs;126;0.003288444444444439;1.8999999999991246e-5;7.692499999999991e-4;0.13412400000000002;Cognitive and cognitive behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo
Cognitive and cognitive behavioural therapies individual:TAU;128;0.004492031250000001;1.4000000000014e-5;0.010101299999999997;0.13104899999999997;TAU:TCAs
Cognitive and cognitive behavioural therapies individual:Counselling individual;128;0.003984304687500002;3.0000000000030003e-6;1.6075000000000364e-4;0.128427;Cognitive and cognitive behavioural therapies individual:Self-help
Cognitive and cognitive behavioural therapies individual:No treatment;128;0.0017644531249999967;1.6999999999933735e-5;3.7434999999998815e-4;0.10747000000000008;Cognitive and cognitive behavioural therapies individual:Self-help
