t1,t2,network_estimate,estimate_norm,full_value,reduced_value,has_direct,contrast_type,removed_direct_comp,removed_direct_norm,n_removed_studies,change,abs_change
Cognitive and cognitive behavioural therapies individual,Waitlist,Cognitive and cognitive behavioural therapies individual:Waitlist,Cognitiveandcognitivebehaviouraltherapiesindividual:Waitlist,-1.827518,-1.82198,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00553800000000004,0.00553800000000004
Acupuncture,SSRIs,Acupuncture:SSRIs,Acupuncture:SSRIs,-0.919457,-0.915912,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00354500000000002,0.00354500000000002
Cognitive and cognitive behavioural therapies group,Waitlist,Cognitive and cognitive behavioural therapies group:Waitlist,Cognitiveandcognitivebehaviouraltherapiesgroup:Waitlist,-2.958528,-2.955653,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00287499999999996,0.00287499999999996
Placebo,SNRIs,Placebo:SNRIs,Placebo:SNRIs,0.740949,0.738151,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,-0.00279799999999996,0.00279799999999996
Behavioural therapies individual,Cognitive and cognitive behavioural therapies individual,Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,Behaviouraltherapiesindividual:Cognitiveandcognitivebehaviouraltherapiesindividual,2.108881,2.106323,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,-0.00255799999999961,0.00255799999999961
Problem solving group,Waitlist,Problem solving group:Waitlist,Problemsolvinggroup:Waitlist,-3.669046,-3.66659,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00245600000000001,0.00245600000000001
Acupuncture,Sham acupuncture,Acupuncture:Sham acupuncture,Acupuncture:Shamacupuncture,-0.531807,-0.530168,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00163900000000005,0.00163900000000005
Cognitive and cognitive behavioural therapies individual,Self-help,Cognitive and cognitive behavioural therapies individual:Self-help,Cognitiveandcognitivebehaviouraltherapiesindividual:Self-help,-0.398416,-0.397048,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00136799999999998,0.00136799999999998
Exercise individual,No treatment,Exercise individual:No treatment,Exerciseindividual:Notreatment,-0.632998,-0.631659,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,0.00133899999999997,0.00133899999999997
Counselling individual,Problem solving individual,Counselling individual:Problem solving individual,Counsellingindividual:Problemsolvingindividual,0.613477,0.61221,TRUE,has_direct(+indirect),Acupuncture + AD:SSRIs,Acupuncture+AD:SSRIs,6,-0.00126700000000001,0.00126700000000001
