treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9174;-1,4435;-0,3913;003-008 (FDA);1;Placebo;-0,0011;0,0011;0,0012;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7497;-2,2563;-1,2430;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0005;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6667;-1,1836;-0,1498;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0009;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1478;-0,9223;1,2178;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0054;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5709;-0,4370;1,5789;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0014;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3149;-0,4080;1,0378;003-008 (FDA);1;Placebo;-0,0007;0,0007;0,0023;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7317;-1,8065;0,3432;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0008;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9538;-1,5447;-0,3629;003-008 (FDA);1;Placebo;-0,0010;0,0010;0,0011;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3310;-2,3535;-0,3085;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0005;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8549;-1,1782;-0,5317;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0011;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3384;-1,8787;-0,7981;003-008 (FDA);1;Placebo;-0,0012;0,0012;0,0009;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3113;-2,1942;-0,4283;003-008 (FDA);1;Placebo;-0,0012;0,0012;0,0009;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6783;-1,2884;-0,0682;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0012;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1943;-1,5184;1,1299;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0030;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1495;-1,6743;1,9733;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0038;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9000;-1,6166;-0,1834;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0009;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4476;-4,6947;-2,2005;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0003;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7564;-1,4564;-0,0565;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0010;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4511;-2,3675;-0,5347;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0006;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5568;-1,2003;0,0867;003-008 (FDA);1;Placebo;-0,0007;0,0007;0,0013;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8116;-1,5625;-0,0607;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0009;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5157;-1,3652;0,3339;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0015;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8705;-1,9135;0,1724;003-008 (FDA);1;Placebo;-0,0005;0,0005;0,0006;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2068;-2,0293;-0,3844;003-008 (FDA);1;Placebo;-0,0007;0,0007;0,0005;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2467;-6,0048;-2,4887;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0002;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,7030;-0,9650;-0,4411;003-008 (FDA);1;Placebo;-0,0077;0,0077;0,0110;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7779;-2,2480;0,6923;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0011;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1157;-0,5836;0,3523;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0075;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3578;-2,6736;-0,0419;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0005;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4787;-2,7930;-0,1644;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0004;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;003-008 (FDA);1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9962;-4,2006;-1,7917;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0003;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9773;-1,6297;-0,3250;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0008;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3512;-2,6614;-0,0410;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0006;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4591;-1,6576;0,7394;003-008 (FDA);1;Placebo;-0,0007;0,0007;0,0015;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7888;-2,0084;0,4308;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0007;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1564;-1,3595;1,0467;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0036;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6505;-1,2137;-0,0874;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0012;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6298;-1,1830;-0,0765;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0013;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1516;-0,9186;0,6153;003-008 (FDA);1;Placebo;-0,0010;0,0010;0,0065;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7106;-1,3803;-0,0409;003-008 (FDA);1;Placebo;-0,0008;0,0008;0,0012;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5026;-1,6812;0,6760;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0012;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7123;-0,8644;-0,5602;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0013;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5227;-0,6337;-0,4117;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0017;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3463;-0,8937;0,2011;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0026;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6285;-0,7832;-0,4737;003-008 (FDA);1;Placebo;-0,0011;0,0011;0,0018;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4015;-0,7504;-0,0527;003-008 (FDA);1;Placebo;-0,0014;0,0014;0,0034;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6730;0,1750;1,1710;003-008 (FDA);1;Placebo;-0,0007;0,0007;0,0010;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8854;-1,8656;0,0949;003-008 (FDA);1;Placebo;-0,0009;0,0009;0,0010;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8586;-3,3206;-0,3967;003-008 (FDA);1;Placebo;-0,0006;0,0006;0,0003;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9191;-1,4452;-0,3931;29060 07 001;1;Placebo;-0,0029;0,0029;0,0031;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7510;-2,2576;-1,2444;29060 07 001;1;Placebo;-0,0022;0,0022;0,0012;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6687;-1,1855;-0,1519;29060 07 001;1;Placebo;-0,0026;0,0026;0,0039;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1460;-0,9239;1,2159;29060 07 001;1;Placebo;-0,0026;0,0026;0,0176;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5690;-0,4388;1,5768;29060 07 001;1;Placebo;-0,0028;0,0028;0,0048;TRUE;TRUE
