removed_study;component_id;component_reference;model_fit;reason;n_removed_studies;n_remaining_studies;frac_remaining_studies;n_estimable_treatments;max_abs_delta;median_abs_delta;p90_abs_delta
Khoshnab 2017;1;Placebo;TRUE;ok;1;310;0,9968;50;1,2118;0,0126;0,1292
Arean 1993;1;Placebo;TRUE;ok;1;310;0,9968;50;1,0953;0,0000;0,0001
Krejtz 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,8540;0,0065;0,0298
Choi 2014a/Choi 2014b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,8312;0,0065;0,0298
Nezu 1989;1;Placebo;TRUE;ok;1;310;0,9968;50;0,7891;0,0000;0,0001
Legrand 2016;1;Placebo;TRUE;ok;1;310;0,9968;50;0,6882;0,0141;0,1403
Moradveisi 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,6511;0,0356;0,0544
Kanter 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,5705;0,0011;0,0056
Blom 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,5636;0,0188;0,1316
Connolly Gibbons 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,5576;0,0011;0,0056
Sun 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,5351;0,0168;0,0610
Blumenthal 2007/Hoffman 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,4093;0,0294;0,0931
Singh 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,4086;0,0175;0,0346
Allen 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,3886;0,0499;0,1825
McNamara 1986;1;Placebo;TRUE;ok;1;310;0,9968;50;0,3856;0,0140;0,0191
Hersen 1984;1;Placebo;TRUE;ok;1;310;0,9968;50;0,3844;0,0109;0,0599
Ashouri 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,3674;0,0272;0,3286
Kramer 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,3600;0,0079;0,0801
Wilson 1982;1;Placebo;TRUE;ok;1;310;0,9968;48;0,3195;0,0063;0,0188
Zhao 2019a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2994;0,0008;0,0028
Miranda 2003/2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2923;0,0203;0,2115
DeJonghe 2001/Kool 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2907;0,0029;0,0280
Jacobson 1996;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2777;0,0100;0,0136
Fonagy 2019;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2468;0,0083;0,0287
Qu 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2427;0,0001;0,0003
Andreescu 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2400;0,0035;0,0127
Markkula 2019;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2395;0,0025;0,1034
Janakiramaiah 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2303;0,0043;0,0156
Hopko 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2055;0,0029;0,0280
Umadevi 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,2046;0,0043;0,0156
Schmidt 1983;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1987;0,0083;0,0629
Duan 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1953;0,0003;0,0012
Maina 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1932;0,0029;0,0280
Saloheimo 2016;1;Placebo;TRUE;ok;1;310;0,9968;49;0,1912;0,0077;0,0511
Moak 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1869;0,0005;0,0019
Sahranavard 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1850;0,0102;0,0696
Blackburn 1997;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1837;0,0133;0,1470
Murphy 1984;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1700;0,0100;0,0156
Quah-Smith 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1649;0,0025;0,0088
Lam 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1620;0,0144;0,0270
Hemat-Far 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1608;0,0056;0,0239
Roy 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1594;0,0044;0,0197
Tong 2020;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1539;0,0000;0,0002
Zu 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1508;0,0114;0,0284
Kay-Lambkin 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1483;0,0041;0,0315
