treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_treatment;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7543;-2,2563;-1,2522;Acupuncture;1;Placebo;-0,0054;0,0054;0,0031;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6076;-1,1216;-0,0937;Acupuncture;1;Placebo;0,0584;0,0584;0,0877;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,2113;-0,8509;1,2735;Acupuncture;1;Placebo;0,0627;0,0627;0,4222;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,7526;-0,2535;1,7586;Acupuncture;1;Placebo;0,1808;0,1808;0,3162;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3663;-0,3512;1,0838;Acupuncture;1;Placebo;0,0507;0,0507;0,1606;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7149;-1,7823;0,3524;Acupuncture;1;Placebo;0,0162;0,0162;0,0221;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,8416;-1,4319;-0,2513;Acupuncture;1;Placebo;0,1112;0,1112;0,1167;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,2718;-2,2863;-0,2573;Acupuncture;1;Placebo;0,0586;0,0586;0,0440;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,7720;-1,0967;-0,4472;Acupuncture;1;Placebo;0,0821;0,0821;0,0961;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,2975;-1,8338;-0,7613;Acupuncture;1;Placebo;0,0396;0,0396;0,0297;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,2677;-2,1437;-0,3916;Acupuncture;1;Placebo;0,0424;0,0424;0,0324;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,5608;-1,1699;0,0484;Acupuncture;1;Placebo;0,1167;0,1167;0,1723;TRUE;TRUE
