direct_comparison,network_estimate,contribution
Acupuncture:Acupuncture + AD,Acupuncture:Sham acupuncture,0.010210752694732964
Acupuncture:Any AD,Acupuncture:Sham acupuncture,0.016002693837581915
Acupuncture:Any psychotherapy,Acupuncture:Sham acupuncture,0.016176144567528538
Acupuncture:Attention placebo,Acupuncture:Sham acupuncture,0.030807653685594166
Acupuncture:Behavioural therapies individual,Acupuncture:Sham acupuncture,0.015906691942831667
Acupuncture:Behavioural therapies individual + AD,Acupuncture:Sham acupuncture,0.009278151583940976
Acupuncture:Cognitive and cognitive behavioural therapies group,Acupuncture:Sham acupuncture,0.0267816593108288
Acupuncture:Cognitive and cognitive behavioural therapies group + AD,Acupuncture:Sham acupuncture,0.013696078119289598
Acupuncture:Cognitive and cognitive behavioural therapies individual,Acupuncture:Sham acupuncture,0.023514283579734695
Acupuncture:Cognitive and cognitive behavioural therapies individual + AD,Acupuncture:Sham acupuncture,0.013852891213376437
Acupuncture:Cognitive and cognitive behavioural therapies individual + placebo,Acupuncture:Sham acupuncture,0.013558858816122255
Acupuncture:Counselling individual,Acupuncture:Sham acupuncture,0.026308794713903842
Acupuncture:Counselling individual + AD,Acupuncture:Sham acupuncture,0.010902638594372337
Acupuncture:Counselling individual + placebo,Acupuncture:Sham acupuncture,0.009708096016132168
Acupuncture:Exercise group,Acupuncture:Sham acupuncture,0.014788060835737906
Acupuncture:Exercise group + AD,Acupuncture:Sham acupuncture,0.010210752694728013
Acupuncture:Exercise individual,Acupuncture:Sham acupuncture,0.013845684285456314
Acupuncture:Exercise individual + AD,Acupuncture:Sham acupuncture,0.013523692674720152
Acupuncture:Interpersonal psychotherapy (IPT) individual,Acupuncture:Sham acupuncture,0.013905085681109437
Acupuncture:Interpersonal psychotherapy (IPT) individual + AD,Acupuncture:Sham acupuncture,0.012091896207924595
Acupuncture:Interpersonal psychotherapy (IPT) individual + placebo,Acupuncture:Sham acupuncture,0.012189797969792592
Acupuncture:Light therapy,Acupuncture:Sham acupuncture,0.008919618158243834
Acupuncture:Light therapy + AD,Acupuncture:Sham acupuncture,0.009403149609773818
Acupuncture:Mindfulness or meditation group,Acupuncture:Sham acupuncture,0.019122524614997624
Acupuncture:Mirtazapine,Acupuncture:Sham acupuncture,0.010432186926718622
Acupuncture:Music therapy group,Acupuncture:Sham acupuncture,0.019122524614997544
Acupuncture:No treatment,Acupuncture:Sham acupuncture,0.023612930631147916
Acupuncture:Peer support group,Acupuncture:Sham acupuncture,0.01197541728514735
Acupuncture:Peer support group + AD,Acupuncture:Sham acupuncture,0.011975417285147366
Acupuncture:Placebo,Acupuncture:Sham acupuncture,0.010656193597334917
Acupuncture:Problem solving group,Acupuncture:Sham acupuncture,0.051829605005611845
Acupuncture:Problem solving individual,Acupuncture:Sham acupuncture,0.0384794531119732
Acupuncture:Psychoeducation group,Acupuncture:Sham acupuncture,0.019122524614997544
Acupuncture:Psychoeducation group + AD,Acupuncture:Sham acupuncture,0.012283821159554644
Acupuncture:Relaxation individual + AD,Acupuncture:Sham acupuncture,0.008616566696139277
Acupuncture:Relaxation individual + placebo,Acupuncture:Sham acupuncture,0.00861883632283335
Acupuncture:Self-help,Acupuncture:Sham acupuncture,0.04381240932742592
Acupuncture:Self-help with support,Acupuncture:Sham acupuncture,0.04086678092842013
Acupuncture:Sham acupuncture,Acupuncture:Sham acupuncture,0.8508957389424716
Acupuncture:Short-term psychodynamic psychotherapies individual,Acupuncture:Sham acupuncture,0.02106196342195809
Acupuncture:Short-term psychodynamic psychotherapies individual + AD,Acupuncture:Sham acupuncture,0.013051234071310336
Acupuncture:SNRIs,Acupuncture:Sham acupuncture,0.010450420616402582
Acupuncture:SSRIs,Acupuncture:Sham acupuncture,0.011691681142307687
Acupuncture:TAU,Acupuncture:Sham acupuncture,0.016867900749440033
