direct_comparison,network_estimate,contribution,rank
Acupuncture:Sham acupuncture,Acupuncture:Sham acupuncture,0.8508957389424716,1
Sham acupuncture:SSRIs,Acupuncture:Sham acupuncture,0.33574997777222293,2
Sham acupuncture:TCAs,Acupuncture:Sham acupuncture,0.2510029904342635,3
Placebo:Sham acupuncture,Acupuncture:Sham acupuncture,0.24076811623470967,4
Sham acupuncture:Trazodone,Acupuncture:Sham acupuncture,0.23294103288016088,5
Acupuncture + AD:Sham acupuncture,Acupuncture:Sham acupuncture,0.2295600224360488,6
Exercise group + AD:Sham acupuncture,Acupuncture:Sham acupuncture,0.22956002243604126,7
Sham acupuncture:SNRIs,Acupuncture:Sham acupuncture,0.22891241910776328,8
Mirtazapine:Sham acupuncture,Acupuncture:Sham acupuncture,0.2277264680237142,9
Light therapy:Sham acupuncture,Acupuncture:Sham acupuncture,0.2106062751793327,10
Acupuncture:SSRIs,Acupuncture:SSRIs,0.6532224518382692,1
Acupuncture:Acupuncture + AD,Acupuncture:SSRIs,0.3266112259191347,2
Acupuncture:Exercise group + AD,Acupuncture:SSRIs,0.32661122591913205,3
Acupuncture:Placebo,Acupuncture:SSRIs,0.31626426232862725,4
Acupuncture:Trazodone,Acupuncture:SSRIs,0.2972619906487324,5
Acupuncture:SNRIs,Acupuncture:SSRIs,0.294214561382034,6
Acupuncture:Mirtazapine,Acupuncture:SSRIs,0.2829026165053408,7
Sham acupuncture:SSRIs,Acupuncture:SSRIs,0.2806937485296117,8
Acupuncture:TCAs,Acupuncture:SSRIs,0.27705773570014713,9
Acupuncture:Light therapy,Acupuncture:SSRIs,0.2770089616426512,10
Acupuncture:TCAs,Acupuncture:TCAs,0.17360231543980448,1
Acupuncture:Relaxation individual + AD,Acupuncture:TCAs,0.08449704770024431,2
Acupuncture:Relaxation individual + placebo,Acupuncture:TCAs,0.08449676083480158,3
Acupuncture:Behavioural therapies individual + AD,Acupuncture:TCAs,0.0839643069445165,4
Acupuncture:Interpersonal psychotherapy (IPT) individual + placebo,Acupuncture:TCAs,0.08349275892967505,5
Acupuncture:Mirtazapine,Acupuncture:TCAs,0.0833495025929459,6
Acupuncture:Placebo,Acupuncture:TCAs,0.08287036069586623,7
Acupuncture:Cognitive and cognitive behavioural therapies individual + placebo,Acupuncture:TCAs,0.08267475329309315,8
Acupuncture:Cognitive and cognitive behavioural therapies individual + AD,Acupuncture:TCAs,0.08229236116187105,9
Acupuncture:Cognitive and cognitive behavioural therapies individual,Acupuncture:TCAs,0.0799793764094278,10
Acupuncture:Waitlist,Acupuncture:Waitlist,0.18920108683087677,1
Acupuncture:Problem solving group,Acupuncture:Waitlist,0.09460054341543843,2
Acupuncture:Self-help,Acupuncture:Waitlist,0.07996738023115073,3
Sham acupuncture:Waitlist,Acupuncture:Waitlist,0.0778981664991625,4
Acupuncture:Self-help with support,Acupuncture:Waitlist,0.07459095401266566,5
Acupuncture:Yoga group,Acupuncture:Waitlist,0.07293238482115749,6
Acupuncture:Problem solving individual,Acupuncture:Waitlist,0.07023355038741677,7
Acupuncture:Cognitive and cognitive behavioural therapies group,Acupuncture:Waitlist,0.06534936877775353,8
Acupuncture:Cognitive and cognitive behavioural therapies individual,Acupuncture:Waitlist,0.05432026139958789,9
Problem solving group:Sham acupuncture,Acupuncture:Waitlist,0.05193211099944168,10
