comparison,treat1,treat2,proportion,mean_path,min_par,min_par_study
Acupuncture:Acupuncture + AD,Acupuncture,Acupuncture + AD,0,2.939070893934188,1.0000000000000002,5.44040010197902
Acupuncture:Any AD,Acupuncture,Any AD,0,3.8012111360588117,1.6023841756434576,4.675224095623483
Acupuncture:Any psychotherapy,Acupuncture,Any psychotherapy,0,4.098138704680987,1.60248625520955,1.9813647775950667
Acupuncture:Attention placebo,Acupuncture,Attention placebo,0,4.447026065568558,1.733636077110436,1.9571697900892207
Acupuncture:Behavioural therapies individual,Acupuncture,Behavioural therapies individual,0,3.303840972380381,1.59098440413134,2.8190080437232727
Acupuncture:Behavioural therapies individual + AD,Acupuncture,Behavioural therapies individual + AD,0,3.847107204201077,1.2645275079852736,1.2645275079852736
Acupuncture:Cognitive and cognitive behavioural therapies group,Acupuncture,Cognitive and cognitive behavioural therapies group,0,3.2832378472356067,1.6516432566958226,3.93161133097534
Acupuncture:Cognitive and cognitive behavioural therapies group + AD,Acupuncture,Cognitive and cognitive behavioural therapies group + AD,0,4.801211136058815,0.9999999999999996,1.8599349144828463
Acupuncture:Cognitive and cognitive behavioural therapies individual,Acupuncture,Cognitive and cognitive behavioural therapies individual,0,2.9895308235131077,1.6240988823995715,4.4580128360597335
Acupuncture:Cognitive and cognitive behavioural therapies individual + AD,Acupuncture,Cognitive and cognitive behavioural therapies individual + AD,0,3.166960154679987,1.5789294391099509,3.9589039977920355
Acupuncture:Cognitive and cognitive behavioural therapies individual + placebo,Acupuncture,Cognitive and cognitive behavioural therapies individual + placebo,0,3.687727947915293,1.5840810453075282,1.6679887963149502
Acupuncture:Counselling individual,Acupuncture,Counselling individual,0,3.7938014618309,1.6610558822981465,3.594672358686631
Acupuncture:Counselling individual + AD,Acupuncture,Counselling individual + AD,0,4.831426032935673,1.5760889446839572,1.947309467169517
Acupuncture:Counselling individual + placebo,Acupuncture,Counselling individual + placebo,0,5.831426032935674,0.9999999999999993,0.9999999999999998
Acupuncture:Exercise group,Acupuncture,Exercise group,0,3.4722038840522655,1.5821973918204293,2.0313042645174026
Acupuncture:Exercise group + AD,Acupuncture,Exercise group + AD,0,2.939070893934188,1.0000000000000002,1
Acupuncture:Exercise individual,Acupuncture,Exercise individual,0,3.265771516758409,1.573637252249457,2.1280287423486914
Acupuncture:Exercise individual + AD,Acupuncture,Exercise individual + AD,0,3.6648018531420137,1.5650029426338286,1.5650029426338283
Acupuncture:Interpersonal psychotherapy (IPT) individual,Acupuncture,Interpersonal psychotherapy (IPT) individual,0,3.769427502275554,1.5904969739757904,2.4070757682921924
Acupuncture:Interpersonal psychotherapy (IPT) individual + AD,Acupuncture,Interpersonal psychotherapy (IPT) individual + AD,0,4.112169629443814,1.5813369986260097,2.3718708461185876
Acupuncture:Interpersonal psychotherapy (IPT) individual + placebo,Acupuncture,Interpersonal psychotherapy (IPT) individual + placebo,0,3.990629392989536,1.580760332931796,1.6758778954782834
Acupuncture:Light therapy,Acupuncture,Light therapy,0,3.3301059593606706,0.9999999999999998,1
Acupuncture:Light therapy + AD,Acupuncture,Light therapy + AD,0,3.4024839726972242,1.5367302986843814,1.727196562717973
Acupuncture:Mindfulness or meditation group,Acupuncture,Mindfulness or meditation group,0,4.275484580343236,1.0000000000000002,1
Acupuncture:Mirtazapine,Acupuncture,Mirtazapine,0,2.959745789179443,1.540997097673914,5.423861018808962
Acupuncture:Music therapy group,Acupuncture,Music therapy group,0,4.275484580343237,1,1
Acupuncture:No treatment,Acupuncture,No treatment,0,3.275484580343237,1.6214296102096626,4.447943838340684
Acupuncture:Peer support group,Acupuncture,Peer support group,0,4.801211136058815,0.9999999999999996,1
Acupuncture:Peer support group + AD,Acupuncture,Peer support group + AD,0,4.8012111360588134,1.0000000000000007,1
Acupuncture:Placebo,Acupuncture,Placebo,0,2.691255564851135,1.5395007511363084,5.414242339216791
Acupuncture:Problem solving group,Acupuncture,Problem solving group,0,4.259107140505431,1,1.720586672127311
Acupuncture:Problem solving individual,Acupuncture,Problem solving individual,0,3.6870453289633343,1.6941599891288714,2.955983984295494
Acupuncture:Psychoeducation group,Acupuncture,Psychoeducation group,0,4.275484580343245,0.9999999999999996,1.0000000000000004
Acupuncture:Psychoeducation group + AD,Acupuncture,Psychoeducation group + AD,0,4.681182965276247,0.9999999999999996,0.9999999999999998
Acupuncture:Relaxation individual + AD,Acupuncture,Relaxation individual + AD,0,3.574599761193754,1.0000000000000002,1.0000000000000004
Acupuncture:Relaxation individual + placebo,Acupuncture,Relaxation individual + placebo,0,3.5708987536308143,0.9999999999999998,1.0000000000000004
Acupuncture:Self-help,Acupuncture,Self-help,0,3.6677855877828396,1.7772503960024437,3.432038904419917
Acupuncture:Self-help with support,Acupuncture,Self-help with support,0,3.4796130358230357,1.7288075931708882,3.6794161392713476
Acupuncture:Sham acupuncture,Acupuncture,Sham acupuncture,0.9422073960445839,1.4930056374112979,1.496800215814083,3.0128815732524354
Acupuncture:Short-term psychodynamic psychotherapies individual,Acupuncture,Short-term psychodynamic psychotherapies individual,0,3.382477246322726,1.6152113506085422,2.902576765479836
Acupuncture:Short-term psychodynamic psychotherapies individual + AD,Acupuncture,Short-term psychodynamic psychotherapies individual + AD,0,4.764722015123481,1.3684939205578162,1.3684939205578162
Acupuncture:SNRIs,Acupuncture,SNRIs,0,2.939164097823623,1.538899115959406,5.414321516570308
Acupuncture:SSRIs,Acupuncture,SSRIs,0.653222451838281,1.939070893934188,1.5308720592591807,5.461664193049464
Acupuncture:TAU,Acupuncture,TAU,0,3.5154861940087248,1.6060092202844602,4.454606544808099
