comparison,treat1,treat2,TE_direct,seTE_direct,lower_direct,upper_direct,statistic_direct,p_direct,n_direct,Q_direct,tau2_direct,tau_direct,I2_direct,TE_indirect,seTE_indirect,lower_indirect,upper_indirect,statistic_indirect,p_indirect,TE_network,seTE_network,lower_network,upper_network,statistic_network,p_network,TE_difference,seTE_difference,lower_diff,upper_diff,statistic_diff,p_inconsistency,z_score,inconsistent
Acupuncture:Acupuncture + AD,Acupuncture,Acupuncture + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8325278213156313,0.36473420557610114,0.11766191445664509,1.5473937281746175,2.282560309912929,0.022456281138289336,0.8325278213156313,0.36473420557610114,0.11766191445664509,1.5473937281746175,2.282560309912929,0.022456281138289336,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Any AD,Acupuncture,Any AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25022942878355403,0.3627872681999605,-0.9612794085051497,0.46082055093804164,-0.6897414841075211,0.49035677300794417,-0.25022942878355403,0.3627872681999605,-0.9612794085051497,0.46082055093804164,-0.6897414841075211,0.49035677300794417,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Any psychotherapy,Acupuncture,Any psychotherapy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.064863693581759,0.5991268216085863,-2.2391306861065416,0.10940329894302381,-1.7773594090191505,0.07550912476142262,-1.064863693581759,0.5991268216085863,-2.2391306861065416,0.10940329894302381,-1.7773594090191505,0.07550912476142262,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Attention placebo,Acupuncture,Attention placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4880531210802443,0.5624171874334385,-2.5903705527360965,-0.3857356894243922,-2.6458172942240568,0.008149381932305114,-1.4880531210802443,0.5624171874334385,-2.5903705527360965,-0.3857356894243922,-2.6458172942240568,0.008149381932305114,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Behavioural therapies individual,Acupuncture,Behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2319222273647759,0.4450044736137872,-2.1041149686070035,-0.3597294861225484,-2.7683367256077136,0.005634320916376908,-1.2319222273647759,0.4450044736137872,-2.1041149686070035,-0.3597294861225484,-2.7683367256077136,0.005634320916376908,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Behavioural therapies individual + AD,Acupuncture,Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18517796212734483,0.6066033342096262,-1.3740986500801255,1.0037427258254359,-0.30527026754414804,0.7601603188808554,-0.18517796212734483,0.6066033342096262,-1.3740986500801255,1.0037427258254359,-0.30527026754414804,0.7601603188808554,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Cognitive and cognitive behavioural therapies group,Acupuncture,Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03651756035481313,0.385166571044351,-0.7183950469409026,0.7914301676505289,0.09480978646666671,0.9244659134151331,0.03651756035481313,0.385166571044351,-0.7183950469409026,0.7914301676505289,0.09480978646666671,0.9244659134151331,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Cognitive and cognitive behavioural therapies group + AD,Acupuncture,Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4141093818456665,0.5778586935148298,-0.7184728455967688,1.5466916092881018,0.7166274151330027,0.47360402381448,0.4141093818456665,0.5778586935148298,-0.7184728455967688,1.5466916092881018,0.7166274151330027,0.47360402381448,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Cognitive and cognitive behavioural therapies individual,Acupuncture,Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06225687625099097,0.29550447886711606,-0.6414350121008158,0.5169212595988338,-0.21067997510449563,0.8331370014425186,-0.06225687625099097,0.29550447886711606,-0.6414350121008158,0.5169212595988338,-0.21067997510449563,0.8331370014425186,NA,NA,NA,NA,NA,NA,NA,no data
Acupuncture:Cognitive and cognitive behavioural therapies individual + AD,Acupuncture,Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4208994796841701,0.37345031503591164,-0.31104968780135356,1.1528486471696937,1.1270561644691495,0.2597187353946789,0.4208994796841701,0.37345031503591164,-0.31104968780135356,1.1528486471696937,1.1270561644691495,0.2597187353946789,NA,NA,NA,NA,NA,NA,NA,no data
