comparison,TE,seTE,lower,upper,statistic,p,z,comp_key
Acupuncture:SSRIs,-1.5138880386707494,0.5539573302560366,-2.599624454944541,-0.4281516223969577,-2.7328603774789606,0.0062786942193875156,-2.7328603774789606,Acupuncture : SSRIs
Acupuncture:TCAs,0.2783168341384927,0.7097254346387617,-1.112719456665516,1.6693531249425015,0.3921471889761866,0.6949494623407797,0.3921471889761866,Acupuncture : TCAs
Any AD:Cognitive and cognitive behavioural therapies group,-1.5024926320938206,0.7291253762567633,-2.9315521097712924,-0.0734331544163489,-2.0606780137147687,0.03933376853358028,-2.0606780137147687,Any AD : Cognitive and cognitive behavioural therapies group
Any AD:Cognitive and cognitive behavioural therapies individual,-1.2265609881489374,0.49741403239998255,-2.2014745770577426,-0.25164739924013235,-2.46587532368333,0.013667889891423484,-2.46587532368333,Any AD : Cognitive and cognitive behavioural therapies individual
Any AD:Cognitive and cognitive behavioural therapies individual + AD,4.74013249140852,0.9640807365218393,2.8505689696368663,6.629696013180174,4.916738102775215,8.799815123043587e-7,4.916738102775215,Any AD : Cognitive and cognitive behavioural therapies individual + AD
Any AD:Exercise individual + AD,1.9107475494602009,0.9570448687274292,0.034974075165576046,3.7865210237548257,1.9965078042797495,0.045878677127693605,1.9965078042797495,Any AD : Exercise individual + AD
Any AD:Interpersonal psychotherapy (IPT) individual + AD,0.12834145473463512,0.79944759913118,-1.4385470470894919,1.695229956558762,0.1605376698536758,0.872457550166427,0.1605376698536758,Any AD : Interpersonal psychotherapy (IPT) individual + AD
Any AD:Interpersonal psychotherapy (IPT) individual + placebo,1.326013447860529,0.8801098274806701,-0.3989701164413444,3.0509970121624024,1.5066454281691932,0.1319015664982341,1.5066454281691932,Any AD : Interpersonal psychotherapy (IPT) individual + placebo
Any AD:Peer support group,NA,NA,NA,NA,NA,NA,NA,Any AD : Peer support group
Any AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA,Any AD : Peer support group + AD
Any AD:Psychoeducation group + AD,-1.4276647054202853,1.5633786509252336,-4.49183055543256,1.636501144591989,-0.9131918902534389,0.361141628399433,-0.9131918902534389,Any AD : Psychoeducation group + AD
Any AD:TAU,-0.8150191460122702,0.7128603704287795,-2.2121997980585597,0.5821615060340191,-1.1433082547737128,0.2529106288985417,-1.1433082547737128,Any AD : TAU
Behavioural therapies individual:SSRIs,-1.8083645459666582,0.7611231617131036,-3.300138530723596,-0.3165905612097202,-2.375915800402747,0.01750545688153671,-2.375915800402747,Behavioural therapies individual : SSRIs
Behavioural therapies individual + AD:Placebo,0.8501791123909093,1.1206532340065654,-1.3462608654202959,3.0466190902021144,0.7586460169764954,0.4480643375123252,0.7586460169764954,Behavioural therapies individual + AD : Placebo
Behavioural therapies individual + AD:TCAs,-0.45247283239863556,1.1125286098989486,-2.6329888395709857,1.7280431747737146,-0.4067066935381858,0.6842234237523017,-0.4067066935381858,Behavioural therapies individual + AD : TCAs
Cognitive and cognitive behavioural therapies group:SSRIs,0.558526220498002,0.7107326964564268,-0.8344842671916327,1.951536708187637,0.7858456819036239,0.43195790007118895,0.7858456819036239,Cognitive and cognitive behavioural therapies group : SSRIs
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,-0.6431406332588925,0.5587244872701465,-1.7382205055889872,0.45193923907120226,-1.1510872494620596,0.2496963430065834,-1.1510872494620596,Cognitive and cognitive behavioural therapies individual : Cognitive and cognitive behavioural therapies individual + AD
Cognitive and cognitive behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,0.42658990654819584,0.9029118603639654,-1.3430848209792345,2.196264634075626,0.47246018717290594,0.6365983528126338,0.47246018717290594,Cognitive and cognitive behavioural therapies individual : Cognitive and cognitive behavioural therapies individual + placebo
Cognitive and cognitive behavioural therapies individual:Counselling individual,-0.062285458729792575,0.5892562151708192,-1.2172064181309825,1.0926355006713975,-0.10570182736509054,0.9158189304481408,-0.10570182736509054,Cognitive and cognitive behavioural therapies individual : Counselling individual
Cognitive and cognitive behavioural therapies individual:Interpersonal psychotherapy (IPT) individual,0.5404073273033693,0.6526774803011837,-0.7388170276073011,1.8196316822140397,0.8279852509297451,0.40767885274481147,0.8279852509297451,Cognitive and cognitive behavioural therapies individual : Interpersonal psychotherapy (IPT) individual
Cognitive and cognitive behavioural therapies individual:No treatment,-0.25217623027280256,0.46325015528607716,-1.160129850466101,0.6557773899204958,-0.5443629697589043,0.5861917225970441,-0.5443629697589043,Cognitive and cognitive behavioural therapies individual : No treatment
Cognitive and cognitive behavioural therapies individual:Placebo,0.5113354195838172,0.6260343583344505,-0.7156693758363483,1.7383402150039826,0.8167849140807749,0.41405135491071715,0.8167849140807749,Cognitive and cognitive behavioural therapies individual : Placebo
Cognitive and cognitive behavioural therapies individual:Self-help,-0.30887443929098346,0.5525932698043835,-1.3919373462067999,0.774188467624833,-0.5589543994995164,0.5761928417042221,-0.5589543994995164,Cognitive and cognitive behavioural therapies individual : Self-help
Cognitive and cognitive behavioural therapies individual:SSRIs,-0.15653768190054917,0.43449728141490307,-1.0081367048543237,0.6950613410532253,-0.36027309858141726,0.7186429146938511,-0.36027309858141726,Cognitive and cognitive behavioural therapies individual : SSRIs
Cognitive and cognitive behavioural therapies individual:Waitlist,-0.42694712541250057,0.5169968500847187,-1.4402423316992026,0.5863480808742014,-0.8258215216253987,0.408905343740592,-0.8258215216253987,Cognitive and cognitive behavioural therapies individual : Waitlist
Cognitive and cognitive behavioural therapies individual + AD:SSRIs,0.7822120226985079,0.5586828349855352,-0.31278621265387496,1.8772102580508907,1.400100331915084,0.16148327569088064,1.400100331915084,Cognitive and cognitive behavioural therapies individual + AD : SSRIs
Cognitive and cognitive behavioural therapies individual + AD:TCAs,0.6694668474539229,0.5695116471678437,-0.44675546977113334,1.7856891646789792,1.1755103706537908,0.23979059060231606,1.1755103706537908,Cognitive and cognitive behavioural therapies individual + AD : TCAs
Cognitive and cognitive behavioural therapies individual + placebo:TCAs,0.2133373692986087,0.9017186093756155,-1.5539986292671388,1.9806733678643562,0.23658973773019018,0.8129750823126515,0.23658973773019018,Cognitive and cognitive behavioural therapies individual + placebo : TCAs
