comparison,TE,seTE,lower,upper,statistic,p,z
Acupuncture:Acupuncture + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Any AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Any psychotherapy,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Attention placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Exercise group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Light therapy,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:No treatment,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Peer support group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Self-help,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Acupuncture:Sham acupuncture,4.045931219004982,1.3597585445211156,1.3808534440729923,6.7110089939369715,2.9754776944092614,0.002925326234369624,2.9754776944092614
Acupuncture:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
