"node","component"
"Placebo",1
"SSRIs",1
"No treatment",1
"Problem solving individual",1
"Waitlist",1
"Sham acupuncture",1
"Any AD",1
"Trazodone",1
"TCAs",1
"Mirtazapine",1
"Cognitive and cognitive behavioural therapies individual",1
"Interpersonal psychotherapy (IPT) individual",1
"Interpersonal psychotherapy (IPT) individual + placebo",1
"Exercise individual",1
"Attention placebo",1
"Short-term psychodynamic psychotherapies individual",1
"Counselling individual + placebo",1
"Self-help with support",1
"Peer support group",1
"Behavioural therapies individual + AD",1
"Cognitive and cognitive behavioural therapies group",1
"Behavioural therapies individual",1
"SNRIs",1
"Counselling individual",1
"Light therapy",1
"Counselling individual + AD",1
"TAU",1
"Cognitive and cognitive behavioural therapies individual + placebo",1
"Interpersonal psychotherapy (IPT) individual + AD",1
"Self-help",1
"Relaxation individual + placebo",1
"Acupuncture + AD",1
"Music therapy group",1
"Acupuncture",1
"Problem solving group",1
"Cognitive and cognitive behavioural therapies individual + AD",1
"Exercise group",1
"Any psychotherapy",1
"Short-term psychodynamic psychotherapies individual + AD",1
"Peer support group + AD",1
"Psychoeducation group",1
"Mindfulness or meditation group",1
"Yoga group",1
"Exercise individual + AD",1
"Light therapy + AD",1
"Exercise group + AD",1
"Psychoeducation group + AD",1
"Yoga group + AD",1
"Cognitive and cognitive behavioural therapies group + AD",1
"Relaxation individual + AD",1
