treatment_id,class,rank_main,rank_sens_exclude_binary_response_converted,rank_sens_exclude_baseline_followup,SUCRA_main,SUCRA_sens_exclude_binary_response_converted,SUCRA_sens_exclude_baseline_followup
trt_006,Behavioural therapies individual,1,2,NA,0.9702889030612245,0.9676964285714286,NA
trt_048,Waitlist,2,1,6,0.9605564413265305,0.9760127551020408,0.7111276041666666
trt_005,Attention placebo,3,3,NA,0.9263791454081632,0.940047193877551,NA
trt_004,Any psychotherapy,4,4,NA,0.9067350127551022,0.9109409013605442,NA
trt_031,Placebo,5,5,4,0.8315197704081633,0.8254991496598639,0.7675859374999999
trt_028,No treatment,6,6,10,0.8090532525510203,0.8243184523809524,0.5036597222222222
trt_015,Counselling individual + placebo,7,7,NA,0.7863064413265306,0.7854260204081632,NA
trt_042,Sham acupuncture,8,28,5,0.7301176658163265,0.48701360544217687,0.755935763888889
trt_014,Counselling individual + AD,9,8,NA,0.7258370535714286,0.7251496598639456,NA
trt_037,Relaxation individual + placebo,10,10,NA,0.7117771045918366,0.7061964285714286,NA
trt_045,TAU,11,9,17,0.7051919642857143,0.7163928571428572,0.4313888888888889
trt_035,Psychoeducation group + AD,12,12,1,0.6735038265306122,0.6750986394557823,0.9281579861111111
trt_047,Trazodone,13,14,8,0.669061543367347,0.6589885204081634,0.5479592013888889
trt_044,Short-term psychodynamic psychotherapies individual + AD,14,15,NA,0.6452997448979592,0.6466335034013605,NA
trt_003,Any AD,15,16,3,0.6385105229591836,0.644750425170068,0.8763038194444444
trt_022,Interpersonal psychotherapy (IPT) individual + placebo,16,17,NA,0.6352547831632652,0.6323775510204082,NA
trt_020,Interpersonal psychotherapy (IPT) individual,17,18,NA,0.6238491709183673,0.6284392006802721,NA
trt_039,SSRIs,18,21,16,0.5901833545918368,0.5653796768707483,0.4510607638888889
trt_041,Self-help with support,19,13,19,0.5872149234693878,0.6680914115646259,0.3458046875
trt_040,Self-help,20,11,NA,0.5724349489795918,0.6752738095238096,NA
trt_043,Short-term psychodynamic psychotherapies individual,21,20,13,0.5531001275510203,0.5778647959183674,0.47362586805555557
trt_038,SNRIs,22,26,14,0.5432477678571429,0.4961840986394558,0.46582552083333334
trt_013,Counselling individual,23,19,NA,0.5359585459183673,0.5846369047619048,NA
trt_046,TCAs,24,25,12,0.5208839285714285,0.5014974489795918,0.4894366319444445
trt_026,Mirtazapine,25,29,18,0.5173306760204082,0.47195493197278915,0.40912413194444447
trt_021,Interpersonal psychotherapy (IPT) individual + AD,26,23,2,0.5143415178571429,0.5095544217687075,0.9085850694444444
trt_007,Behavioural therapies individual + AD,27,27,NA,0.4944588647959184,0.488609693877551,NA
trt_027,Music therapy group,28,24,NA,0.4866495535714286,0.5058745748299319,NA
trt_036,Relaxation individual + AD,29,32,NA,0.46159279336734693,0.45399447278911564,NA
trt_018,Exercise individual,30,30,11,0.4602471301020408,0.4647954931972789,0.4991996527777778
trt_049,Yoga group,31,22,NA,0.447389668367347,0.5151832482993197,NA
trt_010,Cognitive and cognitive behavioural therapies individual,32,31,23,0.42217251275510204,0.4548137755102041,0.2765052083333333
trt_023,Light therapy,33,34,21,0.4217305484693878,0.4099315476190476,0.30144965277777774
trt_016,Exercise group,34,35,9,0.3903552295918367,0.398048044217687,0.5107447916666666
trt_033,Problem solving individual,35,33,NA,0.37588169642857144,0.43801318027210884,NA
trt_008,Cognitive and cognitive behavioural therapies group,36,36,15,0.3467959183673469,0.36910544217687075,0.4580625
trt_029,Peer support group,37,37,NA,0.3372889030612245,0.3406118197278912,NA
trt_009,Cognitive and cognitive behavioural therapies group + AD,38,38,NA,0.3219948979591837,0.3298477891156462,NA
trt_001,Acupuncture,39,45,7,0.31684885204081636,0.1766985544217687,0.607359375
trt_030,Peer support group + AD,40,39,NA,0.2960169005102041,0.29802465986394555,NA
trt_024,Light therapy + AD,41,41,24,0.2861852678571428,0.2739026360544218,0.16514409722222223
trt_034,Psychoeducation group,42,40,NA,0.27918909438775513,0.2938022959183674,NA
trt_019,Exercise individual + AD,43,42,20,0.21721779336734695,0.2208329081632653,0.3293689236111111
trt_012,Cognitive and cognitive behavioural therapies individual + placebo,44,43,NA,0.2102933673469388,0.21396811224489798,NA
trt_050,Yoga group + AD,45,44,NA,0.20118207908163266,0.20222661564625852,NA
trt_011,Cognitive and cognitive behavioural therapies individual + AD,46,46,22,0.15938297193877551,0.16563690476190476,0.28473350694444444
trt_002,Acupuncture + AD,47,47,25,0.11429591836734694,0.1094906462585034,0.0018506944444444445
trt_032,Problem solving group,48,48,NA,0.03902295918367347,0.049002976190476194,NA
trt_017,Exercise group + AD,49,49,NA,0.023097576530612243,0.019926020408163266,NA
trt_025,Mindfulness or meditation group,50,50,NA,0.006771364795918367,0.006239795918367346,NA
