treatment_id,SUCRA,model,class,rank
trt_006,0.9702889030612245,main,Behavioural therapies individual,1
trt_048,0.9605564413265305,main,Waitlist,2
trt_005,0.9263791454081632,main,Attention placebo,3
trt_004,0.9067350127551022,main,Any psychotherapy,4
trt_031,0.8315197704081633,main,Placebo,5
trt_028,0.8090532525510203,main,No treatment,6
trt_015,0.7863064413265306,main,Counselling individual + placebo,7
trt_042,0.7301176658163265,main,Sham acupuncture,8
trt_014,0.7258370535714286,main,Counselling individual + AD,9
trt_037,0.7117771045918366,main,Relaxation individual + placebo,10
trt_045,0.7051919642857143,main,TAU,11
trt_035,0.6735038265306122,main,Psychoeducation group + AD,12
trt_047,0.669061543367347,main,Trazodone,13
trt_044,0.6452997448979592,main,Short-term psychodynamic psychotherapies individual + AD,14
trt_003,0.6385105229591836,main,Any AD,15
trt_022,0.6352547831632652,main,Interpersonal psychotherapy (IPT) individual + placebo,16
trt_020,0.6238491709183673,main,Interpersonal psychotherapy (IPT) individual,17
trt_039,0.5901833545918368,main,SSRIs,18
trt_041,0.5872149234693878,main,Self-help with support,19
trt_040,0.5724349489795918,main,Self-help,20
trt_043,0.5531001275510203,main,Short-term psychodynamic psychotherapies individual,21
trt_038,0.5432477678571429,main,SNRIs,22
trt_013,0.5359585459183673,main,Counselling individual,23
trt_046,0.5208839285714285,main,TCAs,24
trt_026,0.5173306760204082,main,Mirtazapine,25
trt_021,0.5143415178571429,main,Interpersonal psychotherapy (IPT) individual + AD,26
trt_007,0.4944588647959184,main,Behavioural therapies individual + AD,27
trt_027,0.4866495535714286,main,Music therapy group,28
trt_036,0.46159279336734693,main,Relaxation individual + AD,29
trt_018,0.4602471301020408,main,Exercise individual,30
trt_049,0.447389668367347,main,Yoga group,31
trt_010,0.42217251275510204,main,Cognitive and cognitive behavioural therapies individual,32
trt_023,0.4217305484693878,main,Light therapy,33
trt_016,0.3903552295918367,main,Exercise group,34
trt_033,0.37588169642857144,main,Problem solving individual,35
trt_008,0.3467959183673469,main,Cognitive and cognitive behavioural therapies group,36
trt_029,0.3372889030612245,main,Peer support group,37
trt_009,0.3219948979591837,main,Cognitive and cognitive behavioural therapies group + AD,38
trt_001,0.31684885204081636,main,Acupuncture,39
trt_030,0.2960169005102041,main,Peer support group + AD,40
trt_024,0.2861852678571428,main,Light therapy + AD,41
trt_034,0.27918909438775513,main,Psychoeducation group,42
trt_019,0.21721779336734695,main,Exercise individual + AD,43
trt_012,0.2102933673469388,main,Cognitive and cognitive behavioural therapies individual + placebo,44
trt_050,0.20118207908163266,main,Yoga group + AD,45
trt_011,0.15938297193877551,main,Cognitive and cognitive behavioural therapies individual + AD,46
trt_002,0.11429591836734694,main,Acupuncture + AD,47
trt_032,0.03902295918367347,main,Problem solving group,48
trt_017,0.023097576530612243,main,Exercise group + AD,49
trt_025,0.006771364795918367,main,Mindfulness or meditation group,50
trt_048,0.9760127551020408,sens_exclude_binary_response_converted,Waitlist,1
trt_006,0.9676964285714286,sens_exclude_binary_response_converted,Behavioural therapies individual,2
trt_005,0.940047193877551,sens_exclude_binary_response_converted,Attention placebo,3
trt_004,0.9109409013605442,sens_exclude_binary_response_converted,Any psychotherapy,4
trt_031,0.8254991496598639,sens_exclude_binary_response_converted,Placebo,5
trt_028,0.8243184523809524,sens_exclude_binary_response_converted,No treatment,6
trt_015,0.7854260204081632,sens_exclude_binary_response_converted,Counselling individual + placebo,7
trt_014,0.7251496598639456,sens_exclude_binary_response_converted,Counselling individual + AD,8
trt_045,0.7163928571428572,sens_exclude_binary_response_converted,TAU,9
trt_037,0.7061964285714286,sens_exclude_binary_response_converted,Relaxation individual + placebo,10
trt_040,0.6752738095238096,sens_exclude_binary_response_converted,Self-help,11
trt_035,0.6750986394557823,sens_exclude_binary_response_converted,Psychoeducation group + AD,12
trt_041,0.6680914115646259,sens_exclude_binary_response_converted,Self-help with support,13
trt_047,0.6589885204081634,sens_exclude_binary_response_converted,Trazodone,14
trt_044,0.6466335034013605,sens_exclude_binary_response_converted,Short-term psychodynamic psychotherapies individual + AD,15
trt_003,0.644750425170068,sens_exclude_binary_response_converted,Any AD,16
trt_022,0.6323775510204082,sens_exclude_binary_response_converted,Interpersonal psychotherapy (IPT) individual + placebo,17
trt_020,0.6284392006802721,sens_exclude_binary_response_converted,Interpersonal psychotherapy (IPT) individual,18
trt_013,0.5846369047619048,sens_exclude_binary_response_converted,Counselling individual,19
trt_043,0.5778647959183674,sens_exclude_binary_response_converted,Short-term psychodynamic psychotherapies individual,20
trt_039,0.5653796768707483,sens_exclude_binary_response_converted,SSRIs,21
trt_049,0.5151832482993197,sens_exclude_binary_response_converted,Yoga group,22
trt_021,0.5095544217687075,sens_exclude_binary_response_converted,Interpersonal psychotherapy (IPT) individual + AD,23
trt_027,0.5058745748299319,sens_exclude_binary_response_converted,Music therapy group,24
trt_046,0.5014974489795918,sens_exclude_binary_response_converted,TCAs,25
trt_038,0.4961840986394558,sens_exclude_binary_response_converted,SNRIs,26
trt_007,0.488609693877551,sens_exclude_binary_response_converted,Behavioural therapies individual + AD,27
trt_042,0.48701360544217687,sens_exclude_binary_response_converted,Sham acupuncture,28
trt_026,0.47195493197278915,sens_exclude_binary_response_converted,Mirtazapine,29
trt_018,0.4647954931972789,sens_exclude_binary_response_converted,Exercise individual,30
trt_010,0.4548137755102041,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies individual,31
trt_036,0.45399447278911564,sens_exclude_binary_response_converted,Relaxation individual + AD,32
trt_033,0.43801318027210884,sens_exclude_binary_response_converted,Problem solving individual,33
trt_023,0.4099315476190476,sens_exclude_binary_response_converted,Light therapy,34
trt_016,0.398048044217687,sens_exclude_binary_response_converted,Exercise group,35
trt_008,0.36910544217687075,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies group,36
trt_029,0.3406118197278912,sens_exclude_binary_response_converted,Peer support group,37
trt_009,0.3298477891156462,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies group + AD,38
trt_030,0.29802465986394555,sens_exclude_binary_response_converted,Peer support group + AD,39
trt_034,0.2938022959183674,sens_exclude_binary_response_converted,Psychoeducation group,40
trt_024,0.2739026360544218,sens_exclude_binary_response_converted,Light therapy + AD,41
trt_019,0.2208329081632653,sens_exclude_binary_response_converted,Exercise individual + AD,42
trt_012,0.21396811224489798,sens_exclude_binary_response_converted,Cognitive and cognitive behavioural therapies individual + placebo,43
