studyid,pooled_sd_study
003-008 (FDA),9.97609643096938
29060 07 001,10.312668584480624
29060/299,8.887769798999072
Ai 2018,5.02928424330938
Akhondzadeh 2003,9.587217680700842
Albornoz 2011,6.025350612205071
Alexopoulos 2003b,5.695827992639802
Allard 2004,7.034523476963116
Allen 2006,4.6798268366232545
Alves 1999,4.542893610127931
Amsterdam 1986,7.451639536082039
Andreescu 2011,6.812505600595095
Andreoli 2002/Dubini 1997/Massana 1998_study 1,4.535208899581788
Arean 1993,5.555883173523165
Arean 2010,6.854564689141504
Ashouri 2013,6.0121744764672185
Bakish 1992b,3.4938785912821113
Baldwin 2012,9.701211405784642
Basterzi 2009,7.050877821149683
Baune 2018,8.484669969409294
Beach 1992,8.362275408045347
Beasley 1991a,7.441477892215967
Beasley 1993b,10.110929508328503
Benkert 1996,5.959789502078988
Benkert 2000,3.2509339317450654
Bersani 1994,5.803899916201875
Bhargava 2012,3.6381245168355627
Bielski 2004,9.954341360285897
Binnemann 2008,7.589687360971342
Bjerkenstedt 2005,7.511984194742164
Blackburn 1997,7.775602870517502
Blashki 1971,7.599908200179971
Blom 2007,9.666078252480096
Blumenthal 2007/Hoffman 2011,6.9518037772635495
Bose 2008,10.32239992588376
Boulenger 2014,9.430794018947429
Bowman 1995,7.637945684915173
Brannan 2005,7.869326432182145
Burke 2002,14.715998969586735
Carman 1991,7.76
Chang 2015,7.166525720953695
Chiu 1996,8.756997202237763
Choi 2012,8.291118685473256
Choi 2014a/Choi 2014b,7.972375836009504
Claghorn 1992a,9.371775562452532
Claghorn 1992b,8.315440088152227
Clayton 2006_study 1,8.025643383812785
Clayton 2006_study 2,7.9685512209128255
Clerc 1994,12.056456935856156
Cohn 1990b,7.76
Connolly Gibbons 2012,6.215104238036169
Connolly Gibbons 2016,5.219353387847393
Cornelius 1997,11.635703323681586
Costa 1998,7.237248313958473
Cutler 2009,6.242500646285836
De Ronchi 1998,7.818069119795806
DeJonghe 2001/Kool 2003,6.869674434008371
DeNayer 2002,8.12701495587545
Demyttenaere 1998,4.939445819117771
Detke 2002a,5.47221177482525
Detke 2002b,5.752099445768497
Detke 2004,5.888752883787517
Deushle 2003,6.807716210301364
Diaz-Martinez 1998,7.136242587863614
Dierick 1996,8.1531148680294
Doogan 1994,5.47726438379317
Duan 2009,4.7515786850266934
Dube 2010,8.833912841541625
Dubey 2012,7.440228491115041
E-1569,7.06434710358997
Eli Lilly HMAT-A,6.389266590075509
Elkin 1989/Imber 1990,6.8244928110197005
Emsley 2018,5.853665180005083
FDA 244 (EMD 68 843-009),7.609219393618493
FDA 245 (EMD 68 843-010),7.821712657013737
Fabre 1992,8.109401950822267
Fabre 1995a,13.41509532611288
Fagiolini 2020,6.696624878392455
Farabaugh 2015,6.722316069133709
Fava 1998a,12.822246293064255
Fava 2005,5.979548477937109
Fawcett 1989,6.296030495478875
Feighner 1982,5.921461227238882
Fonagy 2019,7.660288379399012
Forest Laboratories 2000,12.89118816247894
Forest Laboratories 2010,12.838616216436302
Forest Research Institute 2003,10.594344543263158
Forest Research Institute 2005,13.400763923649047
Forlenza 2001,11.184379099845312
Freed 1999,9.249873256599674
Fu 2003,6.300052909830731
Fudge 1990,6.568053998966003
GSK_29060/103,10.244756361739034
Gater 2010,5.788055228946364
Gentil 2000,3.1033654623621847
Georgotas 1982,8.153970337085148
Godlewska 2012,5.8420886675914145
Golden 2002_448,10.532468145971372
Golden 2002_449,10.572584656507528
Goldstein 2002,6.07387729914758
Goldstein 2004,4.977933047384469
Gual 2003,7.436338870873835
Guelfi 1995,10.33143075950575
Guelfi 2001,6.707678986097785
Hamamci 2006,8.402071486434636
Hamdan-Mansour 2009,8.25534791700321
Hao 2014,6.859419380767233
Hashemi 2012,4.82055947833968
Hatcher 2018,7.11125867902441
Heller 2009,3.7436499321938204
Hemat-Far 2012,5.5767373974394765
Hermens 2007,10.403625078458376
Hersen 1984,6.987473245239742
Hewett 2009,4.711952441559478
Hewett 2010,10.599332745126452
Hieronymus 2016_PZ/109,6.86396031599194
Higuchi 2009,6.383553301042668
Higuchi 2011,9.555064676683761
Higuchi 2016,12.997078430450157
Hojatifar 2017,8.181885479521192
Hollon 1992,8.66731259920327
Hong 2003,5.150242712727236
Hopko 2003,14.04265241884603
Hoyberg 1996,9.232977640295369
Hunter 2011,7.14403880701879
Husain 2014,3.905124837953327
Hwang 2004,5.850699070337705
Jacobson 1996,10.381934204334431
Jamison 1995,4.582793907650658
Janakiramaiah 2000,7.4222638056054056
Jefferson 2000,16.79385085625922
Jiahui 2006,9.930991894065771
Judd 2001,10.821609925482889
Kang 2009,9.169690605819348
Kanter 2015,8.19157970410961
Kasper 2005a,4.998084904558774
Kasper 2005b,4.9195254027882855
Kasper 2012,10.178751623621858
Katona 2012,9.665304747501185
Katz 1990,5.510120558701832
Katz 1993_Protocol 01,7.760000000000001
Katz 1993_Protocol 03,7.76
Kay-Lambkin 2009,10.481703105888855
Kay-Lambkin 2011/2017,10.777597374463895
Keller 2006_Study 062,8.46076562446193
Kennedy 2007,7.36240449853171
Khan 1991,12.375858278594988
Khan 1995,7.951414968419143
Khan 2007,8.829638303057155
Kheirabadi 2020,15.32056486205086
Khoshnab 2017,7.80807274556275
Kim 2011,2.9
Kinoshita 2009,11.272016599036537
Komulainen 2018,4.412250370653659
Kramer 2014,9.252710983079416
Kranzler 2006_Group A,7.217462483856938
Krejtz 2018,9.597515090812172
Lam 2013,8.545922039496654
Lam 2016,9.07903619912845
Lee 2007,5.840846033548661
Legrand 2016,10.82019996454443
Leinonen 1999,6.206489898731269
Levin 2013,5.715930156320462
Lindegaard 2019,5.3927961207522
Loo 2002,7.541015921396834
Luo 1985,8.482884729461631
M/2020/0046 (Study 046),8.450000000000001
M/2020/0046 (Study 047),7.45845330336638
MDF/29060/III/070/88/MC,8.424632110096926
MIR 003-003 (FDA),8.405355435673139
MIR 003-020 (FDA),8.167418450032484
MIR 003-021 (FDA),7.940352819525763
