studyid,source_study,src_binary,src_basefu
003-008 (FDA),change_from_baseline,0,0
29060 07 001,change_from_baseline,0,0
29060/299,change_from_baseline,0,0
Ai 2018,baseline_followup,0,1
Akhondzadeh 2003,change_from_baseline,0,0
Albornoz 2011,baseline_followup,0,1
Alexopoulos 2003b,baseline_followup,0,1
Allard 2004,baseline_followup,0,1
Allen 2006,binary_response_converted,1,0
Alves 1999,binary_response_converted,1,0
Amsterdam 1986,baseline_followup,0,1
Andreescu 2011,change_from_baseline,0,0
Andreoli 2002/Dubini 1997/Massana 1998_study 1,change_from_baseline,0,0
Arean 1993,baseline_followup,0,1
Arean 2010,baseline_followup,0,1
Ashouri 2013,baseline_followup,0,1
Bakish 1992b,binary_response_converted,1,0
Baldwin 2012,change_from_baseline,0,0
Basterzi 2009,baseline_followup,0,1
Baune 2018,change_from_baseline,0,0
Beach 1992,baseline_followup,0,1
Beasley 1991a,change_from_baseline,0,0
Beasley 1993b,change_from_baseline,0,0
Benkert 1996,binary_response_converted,1,0
Benkert 2000,binary_response_converted,1,0
Bersani 1994,baseline_followup,0,1
Bhargava 2012,baseline_followup,0,1
Bielski 2004,change_from_baseline,0,0
Binnemann 2008,change_from_baseline,0,0
Bjerkenstedt 2005,change_from_baseline,0,0
Blackburn 1997,baseline_followup,0,1
Blashki 1971,baseline_followup,0,1
Blom 2007,baseline_followup,0,1
Blumenthal 2007/Hoffman 2011,change_from_baseline,0,0
Bose 2008,change_from_baseline,0,0
Boulenger 2014,change_from_baseline,0,0
Bowman 1995,baseline_followup,0,1
Brannan 2005,change_from_baseline,0,0
Burke 2002,change_from_baseline,0,0
Carman 1991,change_from_baseline,0,0
Chang 2015,baseline_followup,0,1
Chiu 1996,change_from_baseline,0,0
Choi 2012,baseline_followup,0,1
Choi 2014a/Choi 2014b,baseline_followup,0,1
Claghorn 1992a,change_from_baseline,0,0
Claghorn 1992b,change_from_baseline,0,0
Clayton 2006_study 1,change_from_baseline,0,0
Clayton 2006_study 2,change_from_baseline,0,0
Clerc 1994,baseline_followup,0,1
Cohn 1990b,change_from_baseline,0,0
Connolly Gibbons 2012,baseline_followup,0,1
Connolly Gibbons 2016,baseline_followup,0,1
Cornelius 1997,change_from_baseline,0,0
Costa 1998,baseline_followup,0,1
De Ronchi 1998,baseline_followup,0,1
DeJonghe 2001/Kool 2003,baseline_followup,0,1
DeNayer 2002,change_from_baseline,0,0
Demyttenaere 1998,baseline_followup,0,1
Detke 2004,change_from_baseline,0,0
Deushle 2003,baseline_followup,0,1
Diaz-Martinez 1998,baseline_followup,0,1
Dierick 1996,baseline_followup,0,1
Duan 2009,baseline_followup,0,1
Dube 2010,change_from_baseline,0,0
Dubey 2012,change_from_baseline,0,0
E-1569,change_from_baseline,0,0
Eli Lilly HMAT-A,change_from_baseline,0,0
Elkin 1989/Imber 1990,baseline_followup,0,1
Emsley 2018,baseline_followup,0,1
FDA 244 (EMD 68 843-009),change_from_baseline,0,0
FDA 245 (EMD 68 843-010),change_from_baseline,0,0
Fabre 1992,change_from_baseline,0,0
Fabre 1995a,change_from_baseline,0,0
Fagiolini 2020,change_from_baseline,0,0
Farabaugh 2015,baseline_followup,0,1
Fava 1998a,change_from_baseline,0,0
Fava 2005,baseline_followup,0,1
Fawcett 1989,baseline_followup,0,1
Feighner 1982,binary_response_converted,1,0
Fonagy 2019,baseline_followup,0,1
Forest Laboratories 2000,change_from_baseline,0,0
Forest Laboratories 2010,change_from_baseline,0,0
Forest Research Institute 2003,change_from_baseline,0,0
Forest Research Institute 2005,change_from_baseline,0,0
Forlenza 2001,change_from_baseline,0,0
Freed 1999,baseline_followup,0,1
Fu 2003,baseline_followup,0,1
Fudge 1990,baseline_followup,0,1
GSK_29060/103,change_from_baseline,0,0
Gater 2010,baseline_followup,0,1
Gentil 2000,binary_response_converted,1,0
Georgotas 1982,baseline_followup,0,1
Godlewska 2012,baseline_followup,0,1
Golden 2002_448,change_from_baseline,0,0
Golden 2002_449,change_from_baseline,0,0
Goldstein 2002,baseline_followup,0,1
Goldstein 2004,binary_response_converted,1,0
Gual 2003,binary_response_converted,1,0
Guelfi 1995,change_from_baseline,0,0
Hamamci 2006,baseline_followup,0,1
Hamdan-Mansour 2009,baseline_followup,0,1
Hao 2014,change_from_baseline,0,0
Hashemi 2012,change_from_baseline,0,0
Hatcher 2018,change_from_baseline,0,0
Heller 2009,baseline_followup,0,1
Hemat-Far 2012,baseline_followup,0,1
Hermens 2007,baseline_followup,0,1
Hersen 1984,baseline_followup,0,1
Hewett 2009,binary_response_converted,1,0
Hewett 2010,change_from_baseline,0,0
Hieronymus 2016_PZ/109,baseline_followup,0,1
Higuchi 2009,change_from_baseline,0,0
Higuchi 2011,change_from_baseline,0,0
Higuchi 2016,change_from_baseline,0,0
Hojatifar 2017,baseline_followup,0,1
Hollon 1992,baseline_followup,0,1
Hong 2003,binary_response_converted,1,0
Hopko 2003,baseline_followup,0,1
Hoyberg 1996,baseline_followup,0,1
Hunter 2011,baseline_followup,0,1
Husain 2014,binary_response_converted,1,0
Hwang 2004,binary_response_converted,1,0
Jacobson 1996,baseline_followup,0,1
Jamison 1995,baseline_followup,0,1
Janakiramaiah 2000,baseline_followup,0,1
Jefferson 2000,change_from_baseline,0,0
Jiahui 2006,baseline_followup,0,1
Judd 2001,baseline_followup,0,1
Kang 2009,change_from_baseline,0,0
Kanter 2015,baseline_followup,0,1
Kasper 2005a,binary_response_converted,1,0
Kasper 2005b,change_from_baseline,0,0
Kasper 2012,change_from_baseline,0,0
Katona 2012,change_from_baseline,0,0
Katz 1990,baseline_followup,0,1
Katz 1993_Protocol 01,change_from_baseline,0,0
Katz 1993_Protocol 03,change_from_baseline,0,0
Kay-Lambkin 2009,baseline_followup,0,1
Kay-Lambkin 2011/2017,baseline_followup,0,1
Keller 2006_Study 062,change_from_baseline,0,0
Kennedy 2007,baseline_followup,0,1
Khan 1991,baseline_followup,0,1
Khan 1995,change_from_baseline,0,0
Khan 2007,change_from_baseline,0,0
Kheirabadi 2020,baseline_followup,0,1
Khoshnab 2017,change_from_baseline,0,0
Kim 2011,binary_response_converted,1,0
Kinoshita 2009,change_from_baseline,0,0
Komulainen 2018,baseline_followup,0,1
Kramer 2014,baseline_followup,0,1
Kranzler 2006_Group A,change_from_baseline,0,0
Krejtz 2018,baseline_followup,0,1
Lam 2013,change_from_baseline,0,0
Lam 2016,change_from_baseline,0,0
Legrand 2016,change_from_baseline,0,0
Leinonen 1999,baseline_followup,0,1
Levin 2013,baseline_followup,0,1
Lindegaard 2019,baseline_followup,0,1
Loo 2002,baseline_followup,0,1
Luo 1985,baseline_followup,0,1
M/2020/0046 (Study 046),change_from_baseline,0,0
M/2020/0046 (Study 047),change_from_baseline,0,0
MDF/29060/III/070/88/MC,change_from_baseline,0,0
MIR 003-003 (FDA),change_from_baseline,0,0
MIR 003-020 (FDA),change_from_baseline,0,0
MIR 003-021 (FDA),change_from_baseline,0,0
MY-1042/BRL-029060/CPMS-251,change_from_baseline,0,0
MY-1045/BRL-029060/1 (PAR 128),change_from_baseline,0,0
Macias-Cortes 2015,baseline_followup,0,1
Mahableshwarkar 2013,change_from_baseline,0,0
Mahableshwarkar 2015a,binary_response_converted,1,0
Maina 2007,baseline_followup,0,1
Marchesi 1998,baseline_followup,0,1
Markkula 2019,baseline_followup,0,1
Marshall 2008,baseline_followup,0,1
Mathews 2015,change_from_baseline,0,0
McCallum 1975,baseline_followup,0,1
McKnight 1992,baseline_followup,0,1
McNamara 1986,baseline_followup,0,1
Mehtonen 2000,binary_response_converted,1,0
Mendels 1993,change_from_baseline,0,0
Miller 1989a,change_from_baseline,0,0
Miranda 2003/2006,baseline_followup,0,1
Miura 2000,change_from_baseline,0,0
Moak 2003,baseline_followup,0,1
Mohr 2011,baseline_followup,0,1
Moises 1981,baseline_followup,0,1
Moller 1993,baseline_followup,0,1
Moller 1998,change_from_baseline,0,0
Moller 2000,change_from_baseline,0,0
Montgomery 1992,change_from_baseline,0,0
Mowla 2016,baseline_followup,0,1
Mullin 1996,change_from_baseline,0,0
Mulsant 1999,baseline_followup,0,1
Mundt 2012,change_from_baseline,0,0
Munizza 2006,change_from_baseline,0,0
Murphy 1984,baseline_followup,0,1
Murri 2015,baseline_followup,0,1
Mynors-Wallis 1995,baseline_followup,0,1
NCT01020799,change_from_baseline,0,0
NKD20006 (NCT00048204),change_from_baseline,0,0
Naeem 2014,baseline_followup,0,1
Naeem 2015,baseline_followup,0,1
Nemeroff 2007,binary_response_converted,1,0
Nezu 1989,baseline_followup,0,1
Nierenberg 2007,change_from_baseline,0,0
Noguera 1991,baseline_followup,0,1
Nyth 1992,baseline_followup,0,1
Owens 2008,change_from_baseline,0,0
Ozdemir 2015,baseline_followup,0,1
PAR 01 001 (GSK & FDA),change_from_baseline,0,0
Paslakis 2010,baseline_followup,0,1
Perahia 2006,baseline_followup,0,1
Philipp 1999,change_from_baseline,0,0
Preskorn 1991,change_from_baseline,0,0
Qu 2013,change_from_baseline,0,0
Quah-Smith 2005,change_from_baseline,0,0
Quah-Smith 2013,baseline_followup,0,1
Quilty 2014,baseline_followup,0,1
Rapaport 2009,change_from_baseline,0,0
Raskin 2007,baseline_followup,0,1
Ratti 2011_study 096,binary_response_converted,1,0
Reimherr 1990,change_from_baseline,0,0
Richou 1995,binary_response_converted,1,0
Rickels 1992,binary_response_converted,1,0
Rickels 1994,binary_response_converted,1,0
Rickhi 2011,baseline_followup,0,1
Robinson 2014,change_from_baseline,0,0
Roose 2004,binary_response_converted,1,0
Ropert 1989,baseline_followup,0,1
Roy 2018,baseline_followup,0,1
Rush 1977/Kovacs 1981,baseline_followup,0,1
SER 315 (FDA),change_from_baseline,0,0
Sahranavard 2018,baseline_followup,0,1
Salminen 2008,change_from_baseline,0,0
Saloheimo 2016,change_from_baseline,0,0
Samuelian 1998,baseline_followup,0,1
Sauer 2003,change_from_baseline,0,0
Schatzberg 2002,binary_response_converted,1,0
Schmidt 1983,baseline_followup,0,1
Schweizer 1994,change_from_baseline,0,0
Scott 1992,baseline_followup,0,1
Serrano-Blanco 2006,baseline_followup,0,1
Sharma 2005,baseline_followup,0,1
Sheehan 2009a,change_from_baseline,0,0
Sheehan 2009b,baseline_followup,0,1
Shelton 2006,baseline_followup,0,1
Silverstone 1994,change_from_baseline,0,0
Singh 2005,baseline_followup,0,1
Sir 2005,change_from_baseline,0,0
Smeraldi 1998b,baseline_followup,0,1
Sneed 2014,baseline_followup,0,1
Solati 2016,baseline_followup,0,1
Spring 1992,change_from_baseline,0,0
Sramek 1995,change_from_baseline,0,0
Staner 1995,baseline_followup,0,1
Stark 1985,change_from_baseline,0,0
Study 62b (FDA),change_from_baseline,0,0
Study 89306 (FDA),change_from_baseline,0,0
Study F1J-MC-HMAQ - Study Group B,change_from_baseline,0,0
Suleman 1997,baseline_followup,0,1
Sun 2013,baseline_followup,0,1
Thase 2018,baseline_followup,0,1
Tollefson 1993/1995,change_from_baseline,0,0
Tollefson 1994,change_from_baseline,0,0
Tong 2020,baseline_followup,0,1
Tsutsui 2000,change_from_baseline,0,0
Tzanakaki 2000,binary_response_converted,1,0
Umadevi 2013,baseline_followup,0,1
VEN 600A-303 (FDA),change_from_baseline,0,0
VEN 600A-313 (FDA),change_from_baseline,0,0
VEN XR 367 (FDA),change_from_baseline,0,0
Valle-Cabrera 2018,binary_response_converted,1,0
Van Moffaert 1995b,binary_response_converted,1,0
Versiani 1989,binary_response_converted,1,0
Versiani 1999,change_from_baseline,0,0
WELL AK1A4006,change_from_baseline,0,0
Wade 2002,baseline_followup,0,1
Wade 2007,baseline_followup,0,1
Wang 2013,baseline_followup,0,1
Wang 2014a,baseline_followup,0,1
Ward 2000/King 2000,baseline_followup,0,1
Wernicke 1987,change_from_baseline,0,0
Wernicke 1988,change_from_baseline,0,0
White 1984,change_from_baseline,0,0
Wilson 1982,baseline_followup,0,1
Wright 2005,change_from_baseline,0,0
Zhang 2007a,baseline_followup,0,1
Zhang 2014,change_from_baseline,0,0
Zhang 2019,baseline_followup,0,1
Zhao 2006,change_from_baseline,0,0
Zhao 2019a,baseline_followup,0,1
Zivkov 1995,baseline_followup,0,1
Zu 2014,change_from_baseline,0,0
